編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLOJNHGGFAZ76DA,塘岐段,640.66,,1,1,全筆移轉,02550000
RPPNMLPJNHGGFAZ86DA,白沙段,143.59,,1,1,全筆移轉,01060000
RPPNMLKLNHGGFAZ56DA,東引西段,66.50,,1,1,全筆移轉,03920000
RPPNMLLKNHGGFAZ56DA,仁愛段,619.50,,1,1,全筆移轉,08240006
RPPNMLLKNHGGFAZ56DA,仁愛段,93.13,,1,1,全筆移轉,09130001
RPRNMLSJLHGGFAZ17DA,清水段,37.31,,2,1,持分移轉,13460000
RPRNMLSJLHGGFAZ17DA,清水段,37.31,,2,1,持分移轉,13460000
RPPNMLKKNHGGFAZ09DA,塘岐段,83.03,,1,1,全筆移轉,02190000
RPPNMLSJLHGGFAZ96DA,芹壁段,94.37,,1,1,全筆移轉,04460000
RPPNMLSJLHGGFAZ96DA,芹壁段,8.15,,1,1,全筆移轉,04460001
RPPNMLQLMHGGFAZ07DA,大坪段,82.51,,1,1,全筆移轉,03920000
RPPNMLQLMHGGFAZ07DA,大坪段,74.66,,1,1,全筆移轉,06350000
RPPNMLPLLHGGFAZ86DA,清水段,2601.96,,1,1,全筆移轉,13540000
RPQNMLTLLHGGFAZ47EA,介壽段,79.48,,2,1,持分移轉,08290000
RPRNMLTLLHGGFAZ47DA,東引西段,78.33,,1,1,全筆移轉,06760000
RPQNMLSJLHGGFAZ07DA,芹壁段,3.20,,1,1,全筆移轉,04420001
RPQNMLSJLHGGFAZ07DA,芹壁段,49.33,,1,1,全筆移轉,04480001
RPPNMLTLLHGGFAZ27DA,午沙段,139.45,,1,1,全筆移轉,00260000
RPPNMLTLLHGGFAZ27DA,午沙段,2.80,,1,1,全筆移轉,00260001
RPQNMLPJLHGGFAZ76DA,四維段,12.19,,100000,9871,持分移轉,07710001
RPQNMLPJLHGGFAZ76DA,四維段,.14,,100000,9871,持分移轉,07710003
RPQNMLPJLHGGFAZ76DA,四維段,4.53,,100000,9871,持分移轉,07710004
RPQNMLPJLHGGFAZ76DA,四維段,10.44,,100000,9871,持分移轉,07710005
RPQNMLPJLHGGFAZ76DA,四維段,10.16,,100000,9871,持分移轉,07710006
RPQNMLPJLHGGFAZ76DA,四維段,7.96,,100000,9871,持分移轉,07710007
RPQNMLPJLHGGFAZ76DA,四維段,1.18,,100000,9871,持分移轉,07710008
RPRNMLPJLHGGFAZ86DA,四維段,24.39,,100000,19742,持分移轉,07710001
RPRNMLPJLHGGFAZ86DA,四維段,.28,,100000,19742,持分移轉,07710003
RPRNMLPJLHGGFAZ86DA,四維段,9.05,,100000,19742,持分移轉,07710004
RPRNMLPJLHGGFAZ86DA,四維段,20.88,,100000,19742,持分移轉,07710005
RPRNMLPJLHGGFAZ86DA,四維段,20.32,,100000,19742,持分移轉,07710006
RPRNMLPJLHGGFAZ86DA,四維段,15.91,,100000,19742,持分移轉,07710007
RPRNMLPJLHGGFAZ86DA,四維段,2.35,,100000,19742,持分移轉,07710008
RPTNMLPJLHGGFAZ07DA,四維段,12.19,,100000,9871,持分移轉,07710001
RPTNMLPJLHGGFAZ07DA,四維段,.14,,100000,9871,持分移轉,07710003
RPTNMLPJLHGGFAZ07DA,四維段,4.53,,100000,9871,持分移轉,07710004
RPTNMLPJLHGGFAZ07DA,四維段,10.44,,100000,9871,持分移轉,07710005
RPTNMLPJLHGGFAZ07DA,四維段,10.16,,100000,9871,持分移轉,07710006
RPTNMLPJLHGGFAZ07DA,四維段,7.96,,100000,9871,持分移轉,07710007
RPTNMLPJLHGGFAZ07DA,四維段,1.18,,100000,9871,持分移轉,07710008
RPSNMLPJLHGGFAZ96DA,四維段,13.00,,100000,10524,持分移轉,07710001
RPSNMLPJLHGGFAZ96DA,四維段,.15,,100000,10524,持分移轉,07710003
RPSNMLPJLHGGFAZ96DA,四維段,4.83,,100000,10524,持分移轉,07710004
RPSNMLPJLHGGFAZ96DA,四維段,11.13,,100000,10524,持分移轉,07710005
RPSNMLPJLHGGFAZ96DA,四維段,10.83,,100000,10524,持分移轉,07710006
RPSNMLPJLHGGFAZ96DA,四維段,8.48,,100000,10524,持分移轉,07710007
RPSNMLPJLHGGFAZ96DA,四維段,1.25,,100000,10524,持分移轉,07710008
RPPNMLSKNHGGFAZ27DA,復興段,52.92,,9,3,持分移轉,05150000
RPUNMLPJLHGGFAZ17DA,四維段,12.19,,100000,9871,持分移轉,07710001
RPUNMLPJLHGGFAZ17DA,四維段,.14,,100000,9871,持分移轉,07710003
RPUNMLPJLHGGFAZ17DA,四維段,4.53,,100000,9871,持分移轉,07710004
RPUNMLPJLHGGFAZ17DA,四維段,10.44,,100000,9871,持分移轉,07710005
RPUNMLPJLHGGFAZ17DA,四維段,10.16,,100000,9871,持分移轉,07710006
RPUNMLPJLHGGFAZ17DA,四維段,7.96,,100000,9871,持分移轉,07710007
RPUNMLPJLHGGFAZ17DA,四維段,1.18,,100000,9871,持分移轉,07710008
RPXNMLPJLHGGFAZ47DA,四維段,.55,,100000,9871,持分移轉,11840001
RPXNMLPJLHGGFAZ47DA,四維段,2.81,,100000,9871,持分移轉,11840002
RPXNMLPJLHGGFAZ47DA,四維段,2.26,,100000,9871,持分移轉,11840003
RPOOMLPJLHGGFAZ66DA,四維段,.55,,100000,9871,持分移轉,11840001
RPOOMLPJLHGGFAZ66DA,四維段,2.81,,100000,9871,持分移轉,11840002
RPOOMLPJLHGGFAZ66DA,四維段,2.26,,100000,9871,持分移轉,11840003
RPPNMLQLLHGGFAZ96DA,介壽段,473.45,,1,1,全筆移轉,12770007
RPPNMLQLLHGGFAZ96DA,介壽段,343.02,,1,1,全筆移轉,12770008
RPPNMLQLLHGGFAZ96DA,介壽段,354.71,,1,1,全筆移轉,13030003
RPPNMLQLLHGGFAZ96DA,介壽段,1901.85,,3,2,持分移轉,14270000
RPPOMLPJLHGGFAZ76DA,四維段,1.10,,100000,19742,持分移轉,11840001
RPPOMLPJLHGGFAZ76DA,四維段,5.61,,100000,19742,持分移轉,11840002
RPPOMLPJLHGGFAZ76DA,四維段,4.53,,100000,19742,持分移轉,11840003
RPQOMLPJLHGGFAZ86DA,四維段,.59,,100000,10524,持分移轉,11840001
RPQOMLPJLHGGFAZ86DA,四維段,2.99,,100000,10524,持分移轉,11840002
RPQOMLPJLHGGFAZ86DA,四維段,2.41,,100000,10524,持分移轉,11840003
RPVNMLPJLHGGFAZ27DA,四維段,12.19,,100000,9871,持分移轉,07710001
RPVNMLPJLHGGFAZ27DA,四維段,.14,,100000,9871,持分移轉,07710003
RPVNMLPJLHGGFAZ27DA,四維段,4.53,,100000,9871,持分移轉,07710004
RPVNMLPJLHGGFAZ27DA,四維段,10.44,,100000,9871,持分移轉,07710005
RPVNMLPJLHGGFAZ27DA,四維段,10.16,,100000,9871,持分移轉,07710006
RPVNMLPJLHGGFAZ27DA,四維段,7.96,,100000,9871,持分移轉,07710007
RPVNMLPJLHGGFAZ27DA,四維段,1.18,,100000,9871,持分移轉,07710008
RPWNMLPJLHGGFAZ37DA,四維段,12.19,,100000,9871,持分移轉,07710001
RPWNMLPJLHGGFAZ37DA,四維段,.14,,100000,9871,持分移轉,07710003
RPWNMLPJLHGGFAZ37DA,四維段,4.53,,100000,9871,持分移轉,07710004
RPWNMLPJLHGGFAZ37DA,四維段,10.44,,100000,9871,持分移轉,07710005
RPWNMLPJLHGGFAZ37DA,四維段,10.16,,100000,9871,持分移轉,07710006
RPWNMLPJLHGGFAZ37DA,四維段,7.96,,100000,9871,持分移轉,07710007
RPWNMLPJLHGGFAZ37DA,四維段,1.18,,100000,9871,持分移轉,07710008
RPTOMLPJLHGGFAZ17DA,四維段,.55,,100000,9871,持分移轉,11840001
RPTOMLPJLHGGFAZ17DA,四維段,2.81,,100000,9871,持分移轉,11840002
RPTOMLPJLHGGFAZ17DA,四維段,2.26,,100000,9871,持分移轉,11840003
RPSOMLPJLHGGFAZ07DA,四維段,.55,,100000,9871,持分移轉,11840001
RPSOMLPJLHGGFAZ07DA,四維段,2.81,,100000,9871,持分移轉,11840002
RPSOMLPJLHGGFAZ07DA,四維段,2.26,,100000,9871,持分移轉,11840003
RPROMLPJLHGGFAZ96DA,四維段,.55,,100000,9871,持分移轉,11840001
RPROMLPJLHGGFAZ96DA,四維段,2.81,,100000,9871,持分移轉,11840002
RPROMLPJLHGGFAZ96DA,四維段,2.26,,100000,9871,持分移轉,11840003
RPUOMLPJLHGGFAZ27DA,四維段,.55,,100000,9871,持分移轉,11840001
RPUOMLPJLHGGFAZ27DA,四維段,2.81,,100000,9871,持分移轉,11840002
RPUOMLPJLHGGFAZ27DA,四維段,2.26,,100000,9871,持分移轉,11840003
