編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
RPQNMLPKLHGGFAI87CC,36,34.79,住家用,加強磚造,73年12月24日,二層,,
RPRNMLQKLHGGFAI08CC,39,87.85,住家用,鋼筋混凝土加強磚造,70年11月11日,二層,,
RPXNMLPKLHGGFAI58CC,30,202.40,住商用,鋼筋混凝土造,79年10月2日,五層,,
RPSNMLOLLHGGFAI08CC,26,212.54,住家用,鋼筋混凝土造,84年7月13日,五層,,
RPTOMLOLLHGGFAI28CC,30,58.69,住家用,鋼筋混凝土造,80年8月13日,七層,,
RPSNMLPLLHGGFAI18CC,28,28.42,住家用,鋼筋混凝土造,82年6月9日,十二層,,
RPRPMLPLLHGGFAI28CC,32,114.70,住家用,鋼筋混凝土造,78年1月17日,七層,,
RPTPMLPLLHGGFAI48CC,1,26.33,住家用,鋼筋混凝土構造,108年11月25日,五層,,
RPUPMLPLLHGGFAI58CC,32,37.30,住家用,鋼筋混凝土造,78年1月17日,七層,,
RPVPMLPLLHGGFAI68CC,27,32.67,住家用,鋼筋混凝土造,82年10月12日,七層,,
RPVNMLTLLHGGFAI88CC,26,103.20,住家用,鋼筋混凝土造,84年5月22日,十二層,,
RPROMLKMLHGGFAI77CC,47,87.58,住家用,鋼筋混凝土加強磚造,63年4月1日,二層,,
RPSNMLKMLHGGFAI97EC,18,144.73,辦公室,鋼筋混凝土造,92年5月12日,十層,,
RPSNMLKMLHGGFAI97EC,18,19.52,茶水間，電氣室,鋼筋混凝土造,92年5月12日,十層,,
RPSNMLKMLHGGFAI97EC,18,83.28,防空避難室兼停車空間，梯間，機械室,鋼筋混凝土造,92年5月12日,十層,,
RPSOMLLMLHGGFAI97CC,23,79.56,住家用,鋼筋混凝土造,87年3月19日,二十二層,,
RPTNMLQJMHGGFAI38DC,45,49.22,住商用,鋼筋混凝土加強磚造,65年5月10日,三層,,
RPTNMLRJMHGGFAI48DC,38,170.95,住商用,鋼筋混凝土加強磚造,72年8月17日,四層,,
RPOOMLLJMHGGFAI37CC,23,86.26,住家用,鋼筋混凝土造,87年3月19日,二十二層,,
RPOOMLLJMHGGFAI37CC,23,15.59,共有部份,鋼筋混凝土造,87年3月19日,二十二層,,
RPOOMLLJMHGGFAI37CC,23,18.09,共有部份,鋼筋混凝土造,87年3月19日,二十二層,,
RPUOMLRJMHGGFAI58CC,1,227.95,停車空間、店舖、住宅,鋼筋混凝土構造,109年1月8日,九層,,
RPTOMLQJMHGGFAI48DC,61,55.37,商業用,鋼筋補強磚木造,49年6月30日,一層,,
RPTOMLQJMHGGFAI48DC,57,51.38,住商用,磚造,53年2月18日,二層,,
RPVOMLRJMHGGFAI68CC,25,31.26,住家用,鋼筋混凝土造,84年10月4日,十一層,,
RPWOMLRJMHGGFAI78CC,23,86.26,住家用,鋼筋混凝土造,87年3月19日,二十二層,,
RPVNMLMKMHGGFAI18CC,37,129.87,住商用,鋼筋混凝土造,73年9月19日,三層,,
RPPOMLPKMHGGFAI97CC,45,87.00,住家用,鋼筋混凝土加強磚造,65年5月28日,二層,,
RPQOMLNKMHGGFAI87CC,28,94.34,住家用,鋼筋混凝土造,82年6月23日,十二層,,
RPROMLMKMHGGFAI87CC,23,82.90,住家用,鋼筋混凝土造,87年3月19日,二十二層,,
RPQOMLNKMHGGFAI87CC,28,94.34,住家用,鋼筋混凝土造,82年6月23日,十二層,,
RPROMLMKMHGGFAI87CC,23,17.28,共有部份,鋼筋混凝土造,87年3月19日,二十二層,,
RPQOMLNKMHGGFAI87CC,28,26.28,共有部份,鋼筋混凝土造,82年6月23日,十二層,,
RPQOMLNKMHGGFAI87CC,28,31.80,共有部份,鋼筋混凝土造,82年6月23日,十三層,,
RPSOMLTKMHGGFAI68CC,27,36.25,住家用,鋼筋混凝土造,82年10月12日,七層,,
RPROMLMKMHGGFAI87CC,23,19.39,共有部份,鋼筋混凝土造,87年3月19日,二十二層,,
RPSNMLKLMHGGFAI77CC,79,92.34,住家用,木造,31年2月5日,一層,,
RPQOMLTLMHGGFAI58CC,32,43.22,住家用,鋼筋混凝土造,78年1月17日,七層,,
RPVOMLTLMHGGFAI09CC,33,37.18,住家用,鋼筋混凝土造,77年9月24日,十層,,
RPRNMLKMMHGGFAI77CC,27,44.46,住商用,鋼筋混凝土造,83年2月4日,五層,,
RPUNMLKMMHGGFAI08CC,26,118.39,商業用,鋼筋混凝土造,84年5月11日,七層,,
RPTOMLNJNHGGFAI18CC,36,42.02,住家用,鋼筋混凝土造,73年11月29日,六層,,
RPPOMLNJNHGGFAI77CC,43,161.46,住商用,鋼筋混凝土造,67年9月23日,四層,,
RPVOMLNJNHGGFAI38CC,39,23.23,住商用,鋼筋混凝土加強磚造,70年12月2日,三層,,
RPWOMLNJNHGGFAI48CC,39,23.23,住商用,鋼筋混凝土加強磚造,70年12月2日,三層,,
RPUOMLNJNHGGFAI28CC,39,23.23,住商用,鋼筋混凝土加強磚造,70年12月2日,三層,,
RPWOMLPJNHGGFAI68CC,29,34.90,住家用,鋼筋混凝土造,81年1月24日,六層,,
RPSNMLSJMHGGFAI48DC,45,114.68,住商用,鋼筋混凝土加強磚造,65年5月10日,三層,,
RPPOMLRJMHGGFAI18DC,38,226.64,住商用,鋼筋混凝土加強磚造,72年8月17日,四層,,
