鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
名間鄉,房地(土地+建物),南投縣名間鄉董門巷,82.81,住,,,1110430,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,152.81,4,2,3,有,無,9680000,63347,,0.0,0,,RPSNMLKKNHHGFAM28DB,世紀莊園,C棟18號
名間鄉,房地(土地+建物),南投縣名間鄉董門巷,82.81,住,,,1110430,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,153.51,4,2,3,有,無,9620000,62667,,0.0,0,,RPTNMLKKNHHGFAM38DB,世紀莊園,C棟19號
名間鄉,房地(土地+建物),南投縣名間鄉董門巷,82.81,住,,,1110430,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,152.81,4,2,3,有,無,9600000,62823,,0.0,0,,RPUNMLKKNHHGFAM48DB,世紀莊園,C棟20號
南投市,房地(土地+建物)+車位,南投縣南投市藍田街121號六樓之2,26.45,住,,,1110411,土地1建物1車位1,六層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,123.93,2,2,1,有,無,7990000,72301,一樓平面,31.4,1300000,,RPPNMLKKNHHGFAM87CB,藍田君鼎,6棟B號
南投市,房地(土地+建物)+車位,南投縣南投市南新路,76.47,住,,,1110510,土地2建物1車位1,全,4,透天厝,住家用,鋼筋混凝土造,,165.83,3,3,3,有,無,13380000,80685,一樓平面,0.0,0,,RPRNMLKKNHHGFAM08CB,現代首璽七期,A棟6號
南投市,房地(土地+建物)+車位,南投縣南投市南新路,86.2,住,,,1110412,土地2建物1車位1,全,4,透天厝,住家用,鋼筋混凝土造,,192.25,4,3,4,有,無,15000000,78023,一樓平面,0.0,0,交易總價含下列非屬預售屋價格之費用:親友、員工、共有人或其他特殊關係間之交易；,RPSNMLKKNHHGFAM18CB,現代首璽七期,B棟3號
名間鄉,房地(土地+建物),南投縣名間鄉董門巷,85.76,住,,,1110501,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,153.51,4,2,3,有,無,9760000,63579,,0.0,0,,RPPNMLLKNHHGFAM08DB,世紀莊園,C棟2號
名間鄉,房地(土地+建物),南投縣名間鄉董門巷,82.81,住,,,1110501,土地4建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,153.51,4,2,3,有,無,9680000,63058,,0.0,0,,RPQNMLLKNHHGFAM18DB,世紀莊園,C棟15號
草屯鎮,房地(土地+建物)+車位,南投縣草屯鎮北投路,19.58,,鄉村區,乙種建築用地,1110414,土地1建物1車位1,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,113.61,2,1,1,有,無,6300000,67876,坡道平面,37.0,1100000,,RPPNMLLKNHHGFBM18DB,群合iDo,B棟5號
草屯鎮,房地(土地+建物)+車位,南投縣草屯鎮北投路,26.11,,鄉村區,乙種建築用地,1110428,土地1建物1車位1,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,137.88,3,2,2,有,無,7500000,64433,坡道平面,37.0,1000000,,RPQNMLLKNHHGFBM28DB,群合iDo,F棟3號
草屯鎮,房地(土地+建物)+車位,南投縣草屯鎮北投路,27.74,,鄉村區,乙種建築用地,1110429,土地1建物1車位1,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,141.95,3,2,2,有,無,8900000,75274,坡道平面,37.0,1000000,,RPRNMLLKNHHGFBM38DB,群合iDo,D棟8號
草屯鎮,房地(土地+建物)+車位,南投縣草屯鎮北投路,26.11,,鄉村區,乙種建築用地,1110429,土地1建物1車位1,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,137.88,3,2,2,有,無,8700000,76328,坡道平面,37.0,1000000,,RPSNMLLKNHHGFBM48DB,群合iDo,F棟8號
草屯鎮,房地(土地+建物)+車位,南投縣草屯鎮北投路,27.74,,鄉村區,乙種建築用地,1110430,土地1建物1車位1,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,141.95,3,2,2,有,無,8200000,68604,坡道平面,37.0,1000000,,RPTNMLLKNHHGFBM58DB,群合iDo,D棟5號
魚池鄉,房地(土地+建物),南投縣魚池鄉文武巷,162.11,住,,,1110417,土地1建物1車位0,全,4,店面(店鋪),住家用,鋼筋混凝土造,,413.94,6,1,6,有,無,25760000,62231,,0.0,0,,RPPNMLLKNHHGFCM18CB,日月潭-天空墅,D棟A6號
埔里鎮,房地(土地+建物)+車位,南投縣埔里鎮北平街,24.15,商,,,1110422,土地1建物1車位2,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,193.02,4,2,2,有,無,12300000,67823,坡道平面,50.0,2600000,,RPPNMLMKNHHGFCM38DB,寬心璽玥,Ａ棟4號
水里鄉,房地(土地+建物),南投縣水里鄉北埔段290-17地號,121.42,住,,,1110414,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,210.88,4,2,3,有,無,12380000,58706,,0.0,0,,RPPNMLMKNHHGFEM58DB,賢德聚,B棟1號
水里鄉,房地(土地+建物),南投縣水里鄉北埔段290-7地號,99.88,住,,,1110430,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,182.65,4,2,3,有,無,10380000,56830,,0.0,0,,RPQNMLMKNHHGFEM68DB,賢德聚,A棟10號
草屯鎮,房地(土地+建物),南投縣草屯鎮美村巷,89.94,住,,,1110507,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,184.8,4,3,5,有,無,12000000,64935,,0.0,0,,RPPNMLNKNHHGFBM28CB,萬峪建設美村新建工程,B棟3號
南投市,房地(土地+建物)+車位,南投縣南投市文化路707巷,40.07,住,,,1110509,土地6建物1車位2,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,181.19,3,2,2,有,無,10180000,66572,坡道平面,61.32,2200000,,RPPNMLQKNHHGFAM48CB,英倫天琴,C1棟3F號
埔里鎮,房地(土地+建物)+車位,南投縣埔里鎮恆吉巷,26.01,,鄉村區,乙種建築用地,1110501,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,84.76,3,1,2,有,無,5850000,67320,一樓平面,8.26,700000,,RPPNMLRKNHHGFCM88DB,星墅,1棟5C號
埔里鎮,房地(土地+建物)+車位,南投縣埔里鎮恆吉巷,55.3,,鄉村區,乙種建築用地,1110430,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,164.26,4,2,4,有,無,9500000,55769,一樓平面,8.26,800000,,RPQNMLRKNHHGFCM98DB,星墅,1棟5+6B號
南投市,房地(土地+建物),南投縣南投市文化南路233巷,156.0,住,,,1110422,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,246.57,5,2,5,有,無,16600000,67324,,0.0,0,,RPQNMLSKNHHGFAM78CB,勝邦茵悅墅,A棟12號
南投市,房地(土地+建物),南投縣南投市嘉和一路,72.41,住,,,1110422,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,165.37,4,3,4,有,無,12400000,74983,,0.0,0,,RPPNMLTKNHHGFAM78CB,山水文苑,C棟11號
南投市,房地(土地+建物),南投縣南投市嘉和一路,77.41,住,,,1110503,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,165.38,4,2,4,有,無,12100000,73165,,0.0,0,建物格局未包含一樓停車空間,RPQNMLTKNHHGFAM88CB,山水文苑,B棟5號
南投市,房地(土地+建物),南投縣南投市嘉和一路,75.41,住,,,1110507,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,173.22,4,2,4,有,無,12700000,73317,,0.0,0,,RPRNMLTKNHHGFAM98CB,山水文苑,B棟1號
埔里鎮,房地(土地+建物)+車位,南投縣埔里鎮北平街,24.15,商,,,1110429,土地1建物1車位1,二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,168.02,4,2,2,有,無,10520000,64467,坡道平面,25.0,1300000,,RPPNMLTKNHHGFCM09DB,寬心璽玥,Ａ棟2號
名間鄉,房地(土地+建物),南投縣名間鄉水尾巷,160.77,,特定農業區,甲種建築用地,1110510,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,203.2,3,2,4,有,無,13500000,66437,,0.0,0,,RPPNMLKLNHHGFAM97CB,幸福愛家,A棟6號
南投市,房地(土地+建物),南投縣南投市同源路,89.63,,工業區,丁種建築用地,1110506,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,151.62,3,2,3,有,無,8700000,57380,,0.0,0,,RPPNMLKLNHHGFAM08DB,薪享墅城,B棟18號
草屯鎮,房地(土地+建物)+車位,南投縣草屯鎮博愛路,19.69,住,,,1110508,土地1建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,116.23,2,1,1,有,無,8400000,87654,坡道平面,35.8,1350000,原建物坐落南投縣草屯鎮玉峰段196、216、217、223、224、224-1地號共六筆地號，已整合為一筆南投縣草屯鎮玉峰段196地號。,RPPNMLLLNHHGFBM18CB,富宇博愛苑,A棟2號
草屯鎮,房地(土地+建物)+車位,南投縣草屯鎮北投路,19.58,,鄉村區,乙種建築用地,1110430,土地1建物1車位1,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,113.61,2,1,1,有,無,6300000,67876,坡道平面,37.0,1100000,,RPQNMLPLNHHGFBM78DB,群合iDo,A棟5號
草屯鎮,房地(土地+建物)+車位,南投縣草屯鎮北投路,19.58,,鄉村區,乙種建築用地,1110430,土地1建物1車位1,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,113.61,2,1,1,有,無,6530000,70878,坡道平面,37.0,1100000,,RPRNMLPLNHHGFBM88DB,群合iDo,A棟7號
草屯鎮,房地(土地+建物)+車位,南投縣草屯鎮北投路,26.11,,鄉村區,乙種建築用地,1110430,土地1建物1車位1,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,137.88,3,2,2,有,無,7910000,67506,坡道平面,37.0,1100000,,RPSNMLPLNHHGFBM98DB,群合iDo,F棟5號
草屯鎮,房地(土地+建物)+車位,南投縣草屯鎮北投路,19.58,,鄉村區,乙種建築用地,1110430,土地1建物1車位1,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,113.61,2,1,1,有,無,6900000,74403,坡道平面,37.0,1200000,,RPTNMLPLNHHGFBM09DB,群合iDo,B棟8號
草屯鎮,房地(土地+建物),南投縣草屯鎮青宅巷,82.03,,特定農業區,甲種建築用地,1110413,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,167.34,4,2,3,有,無,10800000,64539,,0.0,0,,RPPNMLRLNHHGFBM78CB,陶淵明(禮遇2),B棟2號
埔里鎮,房地(土地+建物)+車位,南投縣埔里鎮北平街,19.81,商,,,1110503,土地1建物1車位1,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,144.01,3,2,2,有,無,9400000,68902,坡道平面,25.0,1200000,,RPPNMLKMNHHGFCM38DB,寬心璽玥,C棟3號
草屯鎮,房地(土地+建物),南投縣草屯鎮青宅巷,73.95,,特定農業區,甲種建築用地,1110430,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,166.62,4,2,3,有,無,10080000,60497,,0.0,0,,RPPNMLRJOHHGFBM68CB,陶淵明(禮遇2),A棟5號
草屯鎮,房地(土地+建物),南投縣草屯鎮青宅巷,78.02,,特定農業區,甲種建築用地,1110507,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,167.34,4,2,3,有,無,10800000,64539,,0.0,0,,RPQNMLRJOHHGFBM78CB,陶淵明(禮遇2),B棟3號
草屯鎮,房地(土地+建物),南投縣草屯鎮青宅巷,75.65,,特定農業區,甲種建築用地,1110509,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,167.74,4,2,3,有,無,9980000,59497,,0.0,0,,RPPNMLTLOHHGFBM09CB,陶淵明(禮遇2),A棟6號
