編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLRJLHIGFAZ07DA,介壽段,14.84,,1,1,全筆移轉,00370001
RPQNMLLJLHIGFAZ56DA,四維段,287.71,,2,1,持分移轉,08200000
RPQNMLLJLHIGFAZ56DA,四維段,6.45,,2,1,持分移轉,08200001
RPPNMLSJKHIGFAZ07DA,田沃段,26.88,,1,1,全筆移轉,03960001
RPPNMLNLKHIGFAZ76DA,福沃段,73.92,,1,1,全筆移轉,03480000
RPPNMLSKJHIGFAZ07DA,四維段,80.09,,1,1,全筆移轉,07880005
RPPNMLSKJHIGFAZ07DA,四維段,116.71,,1,1,全筆移轉,07880006
RPPNMLNKKIHGFAZ66DA,田沃段,43.18,,1,1,全筆移轉,03520000
RPPNMLKLKHIGFAZ09DA,田沃段,16.69,,1,1,全筆移轉,03960000
RPQNMLQKKIHGFAZ07DA,后沃段,64.40,,1,1,全筆移轉,01850000
RPPNMLQKJHIGFAZ86DA,復興段,178.01,,1,1,全筆移轉,04930000
RPPNMLRLKIHGFAZ17DA,田沃段,43.18,,1,1,全筆移轉,03520000
RPPNMLQKKIHGFAZ96DA,介壽段,56.84,,4,1,持分移轉,09860000
RPPNMLQLKIHGFAZ07DA,仁愛段,40.74,,1,1,全筆移轉,04220000
RPPNMLRKJHIGFAZ96DA,坂里段,132.28,,1,1,全筆移轉,00040000
RPPNMLRKJHIGFAZ96DA,坂里段,12.38,,1,1,全筆移轉,00040001
RPQNMLMJKHIGFAZ56DA,芹壁段,32.88,,1,1,全筆移轉,00340001
RPQNMLMJKHIGFAZ56DA,芹壁段,5.20,,1,1,全筆移轉,00340002
RPQNMLMJKHIGFAZ56DA,芹壁段,72.03,,1,1,全筆移轉,03090003
RPQNMLMJKHIGFAZ56DA,芹壁段,2.36,,1,1,全筆移轉,03630002
RPPNMLRJJIHGFAZ86DA,大坪段,39.46,,1,1,全筆移轉,05530000
RPPNMLMJKHIGFAZ09DA,芹壁段,51.41,,1,1,全筆移轉,03330006
RPPNMLMJKHIGFAZ09DA,芹壁段,13.48,,100000,13304,持分移轉,03400000
RPPNMLMJKHIGFAZ09DA,芹壁段,46.10,,1,1,全筆移轉,03410000
RPPNMLMJKHIGFAZ09DA,芹壁段,24.77,,1,1,全筆移轉,03420000
