編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSNMLNKQHGGFAD87DB,金城段,14.68,都市：住,10000,1359,持分移轉,00230020
RPSNMLNKQHGGFAD87DB,金城段,14.68,都市：住,10000,1359,持分移轉,00230021
RPSNMLNKQHGGFAD87DB,金城段,14.68,都市：住,10000,1359,持分移轉,00230022
RPPNMLRKQHGGFKD88CB,東南段,44.13,都市：住,1,1,全筆移轉,05040017
RPPNMLRKQHGGFKD88CB,東南段,15.44,都市：住,10000,823,持分移轉,05040000
RPRNMLSKQHGGFAD28DB,金華段,11.48,都市：商,100000,139,持分移轉,01370000
RPPNMLSKQHGGFKD98CB,東南段,44.35,都市：住,1,1,全筆移轉,05040018
RPPNMLSKQHGGFKD98CB,東南段,15.22,都市：住,10000,811,持分移轉,05040000
RPQNMLPKQHGGFID58CB,八甲段,27.67,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,2347,持分移轉,01540000
RPQNMLPKQHGGFID58CB,八甲段,10.16,非都市：鄉村區 ; 非都市編定：乙種建築用地,45,1,持分移轉,01540003
RPQNMLPKQHGGFID58CB,八甲段,.07,非都市：鄉村區 ; 非都市編定：乙種建築用地,45,1,持分移轉,01540009
RPPNMLPKQHGGFID48CB,德崙段,17.77,都市：住,100000,875,持分移轉,02410000
RPPNMLNKQHGGFID28CB,德南段,3.77,都市：住,100000,2585,持分移轉,07330000
RPPNMLNKQHGGFID28CB,德南段,4.24,都市：住,100000,2585,持分移轉,07340000
RPWNNLLKQHGGFID88CB,德崙段,15.74,都市：商,100000,775,持分移轉,02410000
RPPNMLNKQHGGFID28CB,德南段,15.15,都市：住,100000,2585,持分移轉,07350000
RPPNMLNKQHGGFID28CB,德南段,4.26,都市：住,100000,2585,持分移轉,07360000
RPUNMLSKQHGGFID66CB,歸仁北段,38.30,都市：住,10000,316,持分移轉,12750000
RPSNMLSKQHGGFID09CB,歸仁北段,33.94,都市：住,10000,280,持分移轉,12750000
