編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPOQMLLKQHGGFAO68CC,坡道機械,2000,16.43,地下二樓
RPUPMLNKQHGGFAO76CC,坡道平面,0,,地下一樓
RPRRMLKLQHGGFAO09CC,坡道平面,3000,31.40,地下一樓
RPQOMLQLQHGGFAO66CC,坡道平面,0,,地下一樓
RPRQMLSJRHGGFAO17DC,坡道平面,0,23.15,地下一樓
RPTQMLKKRHGGFAO56CC,坡道平面,0,,地下一樓
RPUPMLLKRHGGFAO66CC,坡道機械,0,,地下一樓
RPRNMLPLRHGGFAO66CC,坡道平面,0,,地下一樓
RPSNMLPLRHGGFAO76CC,坡道平面,0,,地下一樓
RPUPMLSLRHGGFAO57DC,坡道平面,0,27.54,地下四樓
RPPNMLPLRHGGFAO09CC,坡道平面,3000,,地下三樓
RPXNMLQJIIGGFAO98CC,坡道平面,2000,33.06,地下一樓
RPPQMLQJIIGGFAO48CC,坡道平面,0,36.09,地下二樓
RPXOMLPKIIGGFAO09CC,坡道平面,0,,地下四樓
RPRQMLPLIIGGFAO78CC,坡道平面,0,33.78,地下五樓含以下
RPOOMLSLIIGGFAO58CC,坡道平面,0,31.97,地下一樓
RPPPMLOJJIGGFAO28CC,坡道機械,0,8.68,地下一樓
RPWQMLOJJIGGFAO09CC,坡道平面,0,,地下二樓
RPXOMLOJJIGGFAO56EC,坡道平面,0,34.68,地下四樓
RPXNMLLKQHGGFAO66CC,坡道平面,0,,地下二樓
