鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
新竹市,建物,新竹市新竹市竹光路８號１２樓之２,0.0,住,,,1110707,土地0建物1車位0,十二層,14,套房(1房1廳1衛),住家用,鋼筋混凝土造,0860205,41.14,1,0,1,有,有,有,7500,182,,0.0,0,,RPRPMLLLPHHGFAO98CC
新竹市,建物,新竹市新竹市經國路二段２４５號５樓,0.0,商,,,1110713,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710904,84.01,3,2,2,有,無,有,5500,65,,0.0,0,,RPSPMLLLPHHGFAO09CC
新竹市,房地(土地+建物),新竹市新竹市竹光路２２１號,86.0,住,,,1110718,土地2建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,,282.63,0,5,4,有,無,無,45000,159,,0.0,0,,RPTPMLLLPHHGFAO56CC
新竹市,建物,新竹市新竹市和平路２１１號,0.0,,鄉村區,乙種建築用地,1110713,土地0建物0車位0,全,3,透天厝,住家用,加強磚造,0641219,39.22,4,1,2,有,無,有,13000,331,,0.0,0,,RPWNMLMLPHHGFAO76CC
新竹市,建物,新竹市新竹市延平路一段２６１巷４弄９號２樓,0.0,住,,,1110714,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701229,75.4,3,2,2,有,無,有,12000,159,,0.0,0,,RPSOMLMLPHHGFAO09CC
新竹市,建物,新竹市新竹市武陵路１７９巷１０號２樓之４,0.0,住,,,1110715,土地0建物1車位0,二層,20,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0890501,108.35,2,2,1,有,有,有,15000,138,,0.0,0,,RPTOMLMLPHHGFAO56CC
新竹市,建物,新竹市新竹市自由路２６號２樓,0.0,住,,,1110720,土地0建物1車位0,二層,4,華廈(10層含以下有電梯),補習班、辦公室,鋼筋混凝土造,0900328,144.2,3,2,1,有,無,有,16200,112,,0.0,0,,RPUOMLMLPHHGFAO66CC
新竹市,建物,新竹市新竹市勝利路２１４巷７號２樓,0.0,商,,,1110718,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690610,85.81,3,2,1,有,無,有,13000,151,,0.0,0,,RPVOMLMLPHHGFAO76CC
新竹市,建物,新竹市新竹市至善街２９巷３１號,1117.29,,山坡地保育區,暫未編定,1110718,土地0建物1車位0,見其他登記事項,3,農舍,農舍,鋼筋混凝土造,0860612,504.7,27,0,27,有,無,有,83500,,,0.0,0,含稅金及二代健保,RPXOMLMLPHHGFAO96CC
新竹市,建物,新竹市新竹市新竹市東前?６４號,0.0,,,,1110706,土地0建物0車位0,全,3,透天厝,商業用,磚造,,109.0,2,1,1,有,無,有,12000,110,,0.0,0,,RPPPMLMLPHHGFAO88CC
新竹市,建物,新竹市新竹市東門街１００號二十樓之１,0.0,商,,,1110709,土地0建物1車位1,二十層,28,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1080426,214.75,4,2,2,有,有,有,46000,214,坡道平面,33.15,0,,RPUPMLMLPHHGFAO76CC
新竹市,建物,新竹市新竹市四維路９３號８樓之４,0.0,其他,,,1110715,土地0建物1車位0,八層,14,套房(1房1廳1衛),住家用,鋼筋混凝土造,0870302,57.91,1,1,1,有,有,有,15000,259,,0.0,0,水電瓦斯費及每月管理費1500元由承租人另外負擔。,RPOSMLMLPHHGFAO09CC
新竹市,建物,新竹市新竹市東大路一段５２巷３之１號７樓,0.0,住,,,1110719,土地0建物1車位0,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850830,103.3,3,2,2,有,有,有,16500,160,,0.0,0,每月水電瓦斯費由承租人另外負擔。,RPQSMLMLPHHGFAO66CC
新竹市,建物,新竹市新竹市光復路一段３９２巷２６號,0.0,住,,,1110705,土地0建物0車位0,二層,2,套房(1房1廳1衛),住家用,加強磚造,0701218,16.5,1,0,1,有,無,無,4500,273,,0.0,0,此建物為透天物件屋主隔出多間套房做出租,RPTPMLMLPHHGFAO86EC
新竹市,建物,新竹市新竹市新莊街１８５巷９６號十二樓,0.0,住,,,1110717,土地0建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0980909,165.32999999999998,3,2,2,有,有,有,32000,194,坡道平面,25.24,0,租金含管理費。,RPROMLPLPHHGFAO66CC
新竹市,建物,新竹市新竹市光復路一段２４３巷２２號、２２號二樓、２２號三樓、２２號四樓、２２號五樓、２４號,0.0,住,,,1110716,土地0建物0車位0,二層,5,套房(1房1廳1衛),住宅、梯間,鋼筋混凝土造,0930316,18.66,1,0,1,有,無,有,9800,525,,0.0,0,,RPWOMLPLPHHGFAO17CC
新竹市,建物,新竹市新竹市光復路一段２４３巷２２號、２２號二樓、２２號三樓、２２號四樓、２２號五樓、２４號,0.0,住,,,1110716,土地0建物0車位0,二層,5,套房(1房1廳1衛),住宅、梯間,鋼筋混凝土造,0930316,18.66,1,0,1,有,無,有,13000,697,,0.0,0,,RPXOMLPLPHHGFAO27CC
新竹市,建物,新竹市新竹市光復路一段２４３巷２２號、２２號二樓、２２號三樓、２２號四樓、２２號五樓、２４號,0.0,住,,,1110716,土地0建物0車位0,二層,5,套房(1房1廳1衛),住宅、梯間,鋼筋混凝土造,0930316,18.66,1,0,1,有,無,有,13000,697,,0.0,0,,RPOPMLPLPHHGFAO09CC
新竹市,建物,新竹市新竹市花園街１０６號６樓之３,0.0,商,,,1110707,土地0建物1車位1,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0881201,110.64000000000001,3,2,1,有,有,有,21000,190,坡道機械,20.77,0,租金含管理費。,RPWNMLQLPHHGFAO17CC
新竹市,建物,新竹市新竹市榮濱南路３５２號四樓,0.0,住,,,1110725,土地0建物1車位0,四層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1070523,79.09,2,1,1,有,有,有,16500,209,,0.0,0,水電瓦斯費、網路費及每月管理費1800元由承租人負擔。,RPVOMLRLPHHGFAO27CC
新竹市,建物,新竹市新竹市北新街１３１號十樓之２８,0.0,住,,,1110723,土地0建物1車位0,十層,10,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,0980319,52.08,2,2,1,有,有,有,15000,288,,0.0,0,水電瓦斯費及每月管理費4508元由承租人負擔。,RPWOMLRLPHHGFAO37CC
新竹市,建物,新竹市新竹市食品路３６６巷１號三樓,0.0,住,,,1110723,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0711021,89.01,3,2,1,有,無,有,14000,157,,0.0,0,水電瓦斯費由承租人負擔。,RPOPMLRLPHHGFAO66CC
新竹市,建物,新竹市新竹市民權路５６巷１９號九樓之９,0.0,商,,,1110628,土地0建物1車位0,九層,12,套房(1房1廳1衛),集合住宅,鋼筋混凝土造,1030830,42.35,1,0,1,有,有,有,14000,331,,0.0,0,租金含管理費1000元,RPSQMLRLPHHGFAO17CC
新竹市,建物,新竹市新竹市牛埔路１６９號２樓之１,0.0,住,,,1110713,土地0建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830813,136.81,3,2,3,有,無,有,16500,121,,0.0,0,租金含管理費500元,RPUQMLRLPHHGFAO37CC
新竹市,建物,新竹市新竹市經國路二段１７９號二樓之２,0.0,商,,,1110702,土地0建物1車位0,二層,11,套房(1房1廳1衛),集合住宅,鋼筋混凝土造,0971108,35.72,1,0,1,有,有,有,9000,252,,0.0,0,租金含管理費1000元,RPVQMLRLPHHGFAO47CC
新竹市,建物,新竹市新竹市新竹市東區鐵道路一段２８巷３８號３樓,0.0,其他,,,1110701,土地0建物1車位1,三層,14,住宅大樓(11層含以上有電梯),一般辦公室、機電空間,鋼筋混凝土造,1000718,210.42000000000002,4,2,2,有,有,有,48356,230,坡道平面,33.92,0,,RPTRMLRLPHHGFAO37CC
新竹市,建物,新竹市新竹市中山路６４０巷５７８號５樓,0.0,住,,,1110726,土地0建物1車位0,五層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870530,102.63,3,2,2,有,有,有,18000,175,,0.0,0,水電瓦斯費、網路費及每月管理費1400元由承租人負擔。,RPOPMLSLPHHGFAO76CC
新竹市,建物,新竹市新竹市香北一路１９１巷８號四樓之５,0.0,住,,,1110727,土地0建物1車位0,四層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950731,27.37,1,0,1,有,有,有,7000,256,,0.0,0,水電費由承租人負擔。,RPPPMLSLPHHGFAO86CC
新竹市,建物,新竹市新竹市忠孝路９號,0.0,商,,,1110713,土地0建物1車位0,見其他登記事項,3,店面(店鋪),工業用,加強磚造,,717.52,0,0,2,有,無,無,159290,222,,0.0,0,,RPSPMLSLPHHGFAO17CC
新竹市,建物,新竹市新竹市光復路一段１０８巷３８號５樓,0.0,住,,,1110715,土地0建物0車位0,五層,5,套房(1房1廳1衛),見使用執照,鋼筋混凝土造,0800309,21.86,1,0,1,有,無,有,4600,210,,0.0,0,此為分租套房，第五層共分成 5 間，一間平均面積約 21.86 平方公尺。每月電費由承租人另外負擔。,RPVNMLTLPHHGFAO37CC
新竹市,建物,新竹市新竹市明湖路１２００巷８０號,0.0,,山坡地保育區,丙種建築用地,1110725,土地0建物1車位0,見其他登記事項,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870114,113.96,2,2,2,有,有,有,15000,132,,0.0,0,水電、瓦斯費及每月管理費1500元由承租人另外負擔。,RPOOMLTLPHHGFAO76CC
新竹市,建物,新竹市新竹市明湖路７５１之１１號,0.0,其他,,,1110723,土地0建物1車位0,一層,4,套房(1房1廳1衛),集合住宅,鋼筋混凝土造,0940220,47.84,1,0,1,有,有,有,15000,314,,0.0,0,每月水電、瓦斯費由承租人另外負擔。,RPQOMLTLPHHGFAO96CC
新竹市,建物,新竹市新竹市至善街３３巷１５號三樓,0.0,,山坡地保育區,丙種建築用地,1110727,土地0建物1車位0,三層,4,套房(1房1廳1衛),住家用,鋼筋混凝土造,0870318,31.47,1,1,1,有,有,無,3000,95,,0.0,0,,RPWNMLMJQHHGFAO66CC
