鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
東勢鄉,土地,龍潭段206地號,3459.44,,特定農業區,農牧用地,1110802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3113496,900,,0.0,0,,RPPNMLOJQHHGFFP66DA,0.0,0.0,0.0,無,
北港鎮,土地,福茂段11地號,2350.06,,特定農業區,農牧用地,1110801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,1277,,0.0,0,,RPSNMLPJQHHGFEP96DA,0.0,0.0,0.0,無,
麥寮鄉,土地,安西段328-1地號,1104.0,,一般農業區,農牧用地,1110801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1669800,1513,,0.0,0,,RPPNMLPJQHHGFFP76DA,0.0,0.0,0.0,無,
二崙鄉,土地,三和段694地號,323.12,,鄉村區,乙種建築用地,1110803,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1050000,3250,,0.0,0,,RPPNMLTJQHHGFCP86DA,0.0,0.0,0.0,無,0001
東勢鄉,土地,明倫段2367地號,5196.25,,特定農業區,農牧用地,1110801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5600000,1078,,0.0,0,,RPQNMLSJQHHGFFP17DA,0.0,0.0,0.0,無,
斗六市,土地,海豐崙段朱丹灣小段149-67地號,283.0,都市：其他:道路用地,,,1110802,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3158000,11159,,0.0,0,道路用地包含公共設施保留地用地；,RPOOMLNJQHHGFAP68DA,0.0,0.0,0.0,無,0002
林內鄉,土地,中山段1076-2地號,98.0,住,,,1110805,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1778700,18150,,0.0,0,,RPSNMLLKQHHGFAP98EA,0.0,0.0,0.0,無,
東勢鄉,土地,和平段1636地號,2095.92,,特定農業區,農牧用地,1110808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1260000,601,,0.0,0,,RPTNMLSJQHHGFFP47DA,0.0,0.0,0.0,無,
北港鎮,土地,溝皂段1458地號,9264.0,,特定農業區,農牧用地,1110808,土地4建物0車位0,,,其他,,,,0.0,0,1,1,有,無,8545000,922,,0.0,0,未登記建物；,RPRNMLMKQHHGFEP66DA,0.0,0.0,0.0,無,0003
水林鄉,土地,埔尾段504地號,0.38,商,,,1110806,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,17100,0,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；畸零地或有合併使用效益；,RPPNMLOKQHHGFEP66DA,0.0,0.0,0.0,無,0004
斗六市,房地(土地+建物),雲林縣斗六市十三北路８０號,125.84,,鄉村區,乙種建築用地,1110804,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0851003,156.02,3,3,3,有,無,3741000,23978,,0.0,0,,RPXNMLPKQHHGFAP27EA,144.89,0.0,11.13,無,
斗六市,土地,半路段505地號,49.04,,一般農業區,水利用地,1110804,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,59000,1203,,0.0,0,,SPXNMLPKQHHGFAP37EA,0.0,0.0,0.0,無,
斗六市,土地,溝垻段615地號,200.0,,鄉村區,乙種建築用地,1110801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7120000,35600,,0.0,0,,RPVNMLLKQHHGFAP56DA,0.0,0.0,0.0,無,0005
虎尾鎮,土地,竹圍子段812-1地號,2431.0,,特定農業區,農牧用地,1110810,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2800000,1152,,0.0,0,,RPQNMLOKQHHGFDP66DA,0.0,0.0,0.0,無,
斗六市,土地,斗六二段113地號,93.86,都市：其他:道路用地,,,1110804,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4515000,48104,,0.0,0,包含公共設施保留地用地；,RPWNMLLKQHHGFAP66DA,0.0,0.0,0.0,無,0006
水林鄉,土地,中興段255地號,87.2,,特定農業區,交通用地,1110803,土地31建物0車位0,,,其他,,,,0.0,0,0,0,有,無,85000,975,,0.0,0,,RPSOMLQKQHHGFEP27DA,0.0,0.0,0.0,無,
斗六市,土地,斗六二段417地號,214.79,都市：其他:道路用地,,,1110805,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10515000,48955,,0.0,0,包含公共設施保留地用地；,RPQNMLQKQHHGFAP66EA,0.0,0.0,0.0,無,
古坑鄉,房地(土地+建物),雲林縣古坑鄉文淵路２巷３７弄２２號,134.2,住,,,1110804,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0840308,170.1,4,2,4,有,無,3800000,22340,,0.0,0,,RPUNMLQKQHHGFAP07EA,155.23,0.0,14.87,無,0007
古坑鄉,土地,大湖口段1079地號,5284.03,,一般農業區,農牧用地,1110808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3857000,730,,0.0,0,,RPXNMLQKQHHGFAP37EA,0.0,0.0,0.0,無,
斗六市,房地(土地+建物),雲林縣斗六市建成路８６號七樓之７,3.22,商,,,1110810,土地1建物1車位0,七層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880202,36.870000000000005,1,0,1,有,有,1200000,32547,,0.0,0,,RPQNMLPKQHHGFAP09DA,20.14,0.0,6.0,有,0008
斗六市,房地(土地+建物),雲林縣斗六市武陵街２７號五樓之２,6.32,住,,,1110801,土地1建物1車位0,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810826,54.989999999999995,1,1,1,有,有,1480000,26914,,0.0,0,,RPUOMLOJQHHGFAP76DA,35.8,0.0,3.49,有,
土庫鎮,土地,綺湖段583地號,1022.0,,特定農業區,農牧用地,1110802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,978,,0.0,0,,RPRNMLQKQHHGFDP96DA,0.0,0.0,0.0,無,
虎尾鎮,土地,過溪子段4918地號,2088.0,農,,,1110816,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7516800,3600,,0.0,0,,RPPNMLSKQHHGFDP96DA,0.0,0.0,0.0,無,
虎尾鎮,土地,過溪子段4213地號,1010.0,,特定農業區,農牧用地,1110810,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1300000,1287,,0.0,0,,RPTNMLKKQHHGFDP56DA,0.0,0.0,0.0,無,
斗南鎮,房地(土地+建物),雲林縣斗南鎮世榮街２０號十二樓之５,2.12,商,,,1110806,土地1建物1車位0,十二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840710,33.39,1,1,1,有,有,1300000,38934,,0.0,0,,RPUNMLRKQHHGFBP17DA,20.51,0.0,4.77,有,
斗六市,土地,虎溪段82地號,161.68,,特定農業區,農牧用地,1110811,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,450000,2783,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLTKQHHGFAP27EA,0.0,0.0,0.0,無,
林內鄉,土地,永昌段1671地號,4248.63,,特定農業區,農牧用地,1110802,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3823767,900,,0.0,0,農作物；,RPVOMLSKQHHGFAP47EA,0.0,0.0,0.0,無,
口湖鄉,土地,新北興段277地號,1633.58,,一般農業區,特定目的事業用地,1110805,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,1224,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLRKQHHGFEP07DA,0.0,0.0,0.0,無,
口湖鄉,土地,拔拉段91地號,269.31,,鄉村區,乙種建築用地,1110801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1710791,6352,,0.0,0,,RPPNMLSKQHHGFEP07DA,0.0,0.0,0.0,無,
元長鄉,土地,崙子段1061-1地號,2479.0,,特定農業區,農牧用地,1110804,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2300000,928,,0.0,0,,RPQNMLSKQHHGFEP17DA,0.0,0.0,0.0,無,
元長鄉,土地,潭內段1550-5地號,240.0,,鄉村區,乙種建築用地,1110808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,726000,3025,,0.0,0,,RPSNMLSKQHHGFEP37DA,0.0,0.0,0.0,無,
東勢鄉,土地,和平段994地號,1872.0,,特定農業區,農牧用地,1110802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,534,,0.0,0,,RPPNMLLKQHHGFFP09DA,0.0,0.0,0.0,無,
麥寮鄉,土地,豐安段288地號,342.47,,鄉村區,乙種建築用地,1110811,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,2920,,0.0,0,土地增值稅:36078元，由買方繳納。,RPPNMLQKQHHGFFP96DA,0.0,0.0,0.0,無,
東勢鄉,土地,西安段254地號,1876.39,,特定農業區,特定目的事業用地,1110810,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4644065,2475,,0.0,0,協議價購；,RPRNMLSLPHHGFFP37DA,0.0,0.0,0.0,無,
東勢鄉,土地,西安段252地號,3472.24,,特定農業區,特定目的事業用地,1110810,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8593794,2475,,0.0,0,協議價購；,RPSNMLSLPHHGFFP47DA,0.0,0.0,0.0,無,
東勢鄉,土地,西安段253地號,3445.41,,特定農業區,特定目的事業用地,1110810,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8527390,2475,,0.0,0,協議價購；,RPTNMLSLPHHGFFP57DA,0.0,0.0,0.0,無,
東勢鄉,土地,西安段251地號,2071.93,,特定農業區,特定目的事業用地,1110810,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5128027,2475,,0.0,0,協議價購；,RPVNMLSLPHHGFFP77DA,0.0,0.0,0.0,無,
東勢鄉,土地,西安段668-1地號,2715.55,,特定農業區,農牧用地,1110803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2172440,800,,0.0,0,,RPRNMLRKQHHGFFP27DA,0.0,0.0,0.0,無,
二崙鄉,土地,新庄子段大北園小段1667地號,1686.0,,特定農業區,農牧用地,1110802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3034800,1800,,0.0,0,,RPRNMLTKQHHGFCP27EA,0.0,0.0,0.0,無,0009
二崙鄉,土地,大義崙段836地號,1944.5,,特定農業區,農牧用地,1110810,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3205000,1648,,0.0,0,,RPQNMLTJQHHGFCP96DA,0.0,0.0,0.0,無,
土庫鎮,土地,越港段890地號,302.96,住,,,1110809,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12000000,39609,,0.0,0,,RPQNMLTKQHHGFDP17DA,0.0,0.0,0.0,無,0010
虎尾鎮,土地,信義段360地號,13.22,住,,,1110816,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,120000,9077,,0.0,0,本案土地為裡地含土地增值稅或其他稅費22002元；,RPWNMLTKQHHGFDP77DA,0.0,0.0,0.0,無,
大埤鄉,土地,大埤段3614地號,3382.0,,特定農業區,農牧用地,1110805,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5833950,1725,,0.0,0,,RPPNMLNKQHHGFBP88DA,0.0,0.0,0.0,無,
古坑鄉,土地,東興段490地號,492.0,都市：其他:公園兼兒童遊樂場,,,1110808,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7441500,15125,,0.0,0,協議價購；,RPSNMLRKQHHGFAP86DA,0.0,0.0,0.0,無,
古坑鄉,土地,東興段488地號,1168.0,都市：其他:公園兼兒童遊樂場,,,1110808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,17666000,15125,,0.0,0,協議價購；,RPTNMLRKQHHGFAP96DA,0.0,0.0,0.0,無,
古坑鄉,土地,東興段489地號,40.62,都市：其他:公園兼兒童遊樂場,,,1110808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,614438,15126,,0.0,0,協議價購；,RPUNMLRKQHHGFAP07DA,0.0,0.0,0.0,無,0011
口湖鄉,土地,9866梧段986-15地號,72.73,,鄉村區,乙種建築用地,1110801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,970000,13337,,0.0,0,,RPUNMLQKQHHGFEP37DA,0.0,0.0,0.0,無,
四湖鄉,土地,西鹿段222-1地號,502.02,,一般農業區,農牧用地,1110806,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,450000,896,,0.0,0,,RPPNMLKLQHHGFEP98DA,0.0,0.0,0.0,無,0012
台西鄉,土地,公館段1224地號,101.67,,鄉村區,乙種建築用地,1110816,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,300000,2951,,0.0,0,,RPPNMLTKQHHGFFP27DA,0.0,0.0,0.0,無,
麥寮鄉,土地,豐安段282地號,228.97,,鄉村區,乙種建築用地,1110815,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,4367,,0.0,0,未登記建物；瑕疵物件；,RPPNMLPKQHHGFFP86DA,0.0,0.0,0.0,無,
麥寮鄉,土地,橋頭段1083-8地號,38.0,,一般農業區,甲種建築用地,1110817,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,900000,23684,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；瑕疵物件；,RPPNMLSKQHHGFFP17DA,0.0,0.0,0.0,無,0013
麥寮鄉,土地,橋頭段762-1地號,1359.0,,一般農業區,農牧用地,1110817,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,1104,,0.0,0,,RPTNMLMLQHHGFFP07DA,0.0,0.0,0.0,無,
古坑鄉,土地,新園段232-5地號,206.25,,一般農業區,農牧用地,1110802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,680625,3300,,0.0,0,政府機關標讓售；,RPQQMLNLQHHGFAP76EA,0.0,0.0,0.0,無,
元長鄉,土地,長興段574地號,477.0,住,,,1110801,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2623500,5500,,0.0,0,,RPRNMLMLQHHGFEP86EA,0.0,0.0,0.0,無,
土庫鎮,土地,崙前段585地號,2422.28,,特定農業區,農牧用地,1110802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3391192,1400,,0.0,0,,RPRNMLMLQHHGFDP76EA,0.0,0.0,0.0,無,
東勢鄉,土地,東南段741-2地號,34.5,商,,,1110816,土地1建物0車位0,,,其他,,,,0.0,3,1,2,有,無,1000000,28986,,0.0,0,未登記建物；,RPVNMLMLQHHGFFP37EA,0.0,0.0,0.0,無,
古坑鄉,土地,東興段489地號,20.31,都市：其他:公園兼兒童遊樂場,,,1110808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,307219,15126,,0.0,0,協議價購；,RPVNMLRKQHHGFAP17DA,0.0,0.0,0.0,無,0011
古坑鄉,土地,東興段489地號,81.25,都市：其他:公園兼兒童遊樂場,,,1110808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1228875,15125,,0.0,0,協議價購；,RPWNMLRKQHHGFAP27DA,0.0,0.0,0.0,無,0011
古坑鄉,土地,東興段489地號,20.31,都市：其他:公園兼兒童遊樂場,,,1110808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,307219,15126,,0.0,0,協議價購；,RPOOMLRKQHHGFAP56DA,0.0,0.0,0.0,無,0011
古坑鄉,土地,東興段489地號,162.5,都市：其他:公園兼兒童遊樂場,,,1110808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2457750,15125,,0.0,0,協議價購；,RPPOMLRKQHHGFAP66DA,0.0,0.0,0.0,無,0011
斗六市,土地,大崙段茄苳腳小段131-10地號,345.0,,特定農業區,甲種建築用地,1110801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7280000,21101,,0.0,0,土地增值稅由買方負擔。親友、員工、共有人或其他特殊關係間之交易；,RPWOMLSKQHHGFAP47DA,0.0,0.0,0.0,無,
斗六市,房地(土地+建物)+車位,雲林縣斗六市西平路２０９號八樓之１８,10.98,住,,,1110810,土地1建物1車位1,八層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860515,128.83,3,2,2,有,有,4400000,34154,坡道平面,0.0,0,,RPPNMLKLQHHGFAP58DA,74.5,1.14,6.48,有,0018
虎尾鎮,土地,牛埔子段435地號,5245.0,,特定農業區,農牧用地,1110808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10070400,1920,,0.0,0,,RPSNMLMLQHHGFDP76DA,0.0,0.0,0.0,無,
土庫鎮,土地,埤腳段1206-1地號,2843.0,,特定農業區,農牧用地,1110811,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4548800,1600,,0.0,0,,RPWNMLMLQHHGFDP17DA,0.0,0.0,0.0,無,
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮堀頭１９之２１號,105.87,,鄉村區,乙種建築用地,1110815,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1101018,178.56,5,2,4,有,無,8200000,45923,,0.0,0,預售屋、或土地及建物分件登記案件；,RPQOMLMLQHHGFDP66DA,168.72,0.0,9.84,無,
斗六市,土地,咬狗北段510地號,2569.71,,一般農業區,農牧用地,1110815,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5000000,1946,,0.0,0,,RPVQMLNLQHHGFAP17DA,0.0,0.0,0.0,無,
古坑鄉,土地,永光段584地號,528.74,,鄉村區,乙種建築用地,1110809,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2600000,4917,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLOLQHHGFAP76DA,0.0,0.0,0.0,無,0019
斗六市,房地(土地+建物),雲林縣斗六市中山路５７７巷５號,62.25,,一般農業區,甲種建築用地,1110809,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0641228,102.51,5,2,2,有,無,2400000,23412,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPWNMLSKQHHGFAP37DA,102.51,0.0,0.0,無,
斗六市,房地(土地+建物),雲林縣斗六市大學路一段５９９之６號二樓,15.03,住,,,1110814,土地1建物1車位0,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831120,139.06,4,2,2,有,有,4500000,32360,,0.0,0,,RPVOMLRKQHHGFAP27DA,83.54,4.0,10.71,有,0020
虎尾鎮,土地,過溪子段2190地號,1500.0,,特定農業區,農牧用地,1110810,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,2000,,0.0,0,,RPSNMLMLQHHGFDP86EA,0.0,0.0,0.0,無,
土庫鎮,土地,秀潭段517地號,232.68,,鄉村區,乙種建築用地,1110810,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,767856,3300,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLOLQHHGFDP17EA,0.0,0.0,0.0,無,0021
古坑鄉,土地,新園段232地號,52.92,,一般農業區,農牧用地,1110808,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,174636,3300,,0.0,0,政府機關標讓售；,RPPQMLNLQHHGFAP66EA,0.0,0.0,0.0,無,
崙背鄉,房地(土地+建物),雲林縣崙背鄉東興路５１之２０號,106.03,,鄉村區,乙種建築用地,1110807,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0861019,183.83,6,1,3,有,無,5000000,27199,,0.0,0,,RPSNMLOLQHHGFCP96EA,183.83,0.0,0.0,無,
四湖鄉,土地,三崙段2286-1地號,1267.0,,一般農業區,農牧用地,1110807,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,500000,395,,0.0,0,,RPPNMLMLQHHGFEP56DA,0.0,0.0,0.0,無,
北港鎮,房地(土地+建物),雲林縣北港鎮民樂路２１３號,1305.09,工,,,1110803,土地4建物1車位0,全,一層,透天厝,工業用,輕型鋼架造,0730421,589.25,1,1,1,有,無,35514740,60271,,0.0,0,,RPSNMLMLQHHGFEP86DA,589.25,0.0,0.0,無,
四湖鄉,土地,林厝寮段1490地號,1596.5,,一般農業區,農牧用地,1110810,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,606670,380,,0.0,0,,RPQNMLNLQHHGFEP76DA,0.0,0.0,0.0,無,
四湖鄉,土地,新蔡厝段13地號,2375.54,,一般農業區,農牧用地,1110811,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2075116,874,,0.0,0,,RPRNMLNLQHHGFEP86DA,0.0,0.0,0.0,無,0022
四湖鄉,土地,林厝寮段4575地號,2134.0,,一般農業區,農牧用地,1110805,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1100000,515,,0.0,0,,RPUNMLNLQHHGFEP17DA,0.0,0.0,0.0,無,
四湖鄉,土地,南光段406地號,783.88,,一般農業區,農牧用地,1110805,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,431134,550,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPVNMLNLQHHGFEP27DA,0.0,0.0,0.0,無,
四湖鄉,土地,三崙段294地號,3825.0,,一般農業區,農牧用地,1110811,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2300000,601,,0.0,0,,RPWNMLNLQHHGFEP37DA,0.0,0.0,0.0,無,0023
元長鄉,土地,長南段1422-4地號,322.38,,特定農業區,甲種建築用地,1110814,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2030000,6297,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPOOMLNLQHHGFEP66DA,0.0,0.0,0.0,無,0024
水林鄉,土地,松北段221地號,3027.0,,特定農業區,農牧用地,1110817,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2210000,730,,0.0,0,,RPXNMLRKQHHGFEP77DA,0.0,0.0,0.0,無,
水林鄉,土地,東興段1962地號,3420.0,,特定農業區,農牧用地,1110808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3300000,965,,0.0,0,,RPVNMLOLQHHGFEP37DA,0.0,0.0,0.0,無,
口湖鄉,土地,崙北段405地號,3482.0,,一般農業區,農牧用地,1110809,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2263300,650,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPXNMLOLQHHGFEP57DA,0.0,0.0,0.0,無,
北港鎮,房地(土地+建物),雲林縣北港鎮太平路１８巷３５號,121.29,住,,,1110804,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1080925,208.18,3,2,3,有,無,13600000,65328,,0.0,0,,RPQOMLOLQHHGFEP96DA,194.34,1.39,12.45,有,
水林鄉,土地,水北段307地號,60.41,都市：其他:道路用地,,,1110817,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,100000,1655,,0.0,0,,RPUOMLPLQHHGFEP47DA,0.0,0.0,0.0,無,
西螺鎮,土地,東南段986地號,238.64,住,,,1110805,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9000000,37714,,0.0,0,含土地增值稅或其他稅費996516元；含地政士服務費10000元；其他 印花、登記:4471元；,RPPNMLPLQHHGFCP76EA,0.0,0.0,0.0,無,
土庫鎮,土地,新埤腳段217地號,1502.0,,特定農業區,農牧用地,1110815,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1600000,1065,,0.0,0,,RPOOMLOLQHHGFDP76EA,0.0,0.0,0.0,無,
斗六市,房地(土地+建物),雲林縣斗六市鎮東路４２之１號,97.0,住,,,1110809,土地1建物1車位0,全,五層,透天厝,住商用,鋼筋混凝土造,0831212,318.07,7,3,4,有,無,15500000,48731,,0.0,0,,RPRNMLPLQHHGFAP66DA,279.65,5.77,32.65,無,
斗南鎮,土地,五福段4地號,149.26,商,,,1110809,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6772673,45375,,0.0,0,,RPPNMLLKQHHGFBP68DA,0.0,0.0,0.0,無,0025
斗南鎮,土地,西岐段1241地號,121.0,住,,,1110809,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5490375,45375,,0.0,0,,RPQNMLLKQHHGFBP78DA,0.0,0.0,0.0,無,
虎尾鎮,土地,惠來厝段3293-1地號,3164.17,,特定農業區,農牧用地,1110806,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6106848,1930,,0.0,0,,RPSNMLOKQHHGFDP86DA,0.0,0.0,0.0,無,0026
斗南鎮,土地,新東段239地號,905.65,工,,,1110819,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,38100000,42069,,0.0,0,政府機關標讓售；,RPTNMLOLQHHGFBP86DA,0.0,0.0,0.0,無,
斗六市,土地,北環段140地號,117.52,住,,,1110801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7780000,66201,,0.0,0,,RPORMLNLQHHGFAP56DA,0.0,0.0,0.0,無,
斗六市,土地,九老爺段1832地號,506.25,,特定農業區,農牧用地,1110808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,700000,1383,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPVNMLTKQHHGFAP37DA,0.0,0.0,0.0,無,
西螺鎮,土地,埔西段98地號,254.65,農,,,1110816,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,770000,3024,,0.0,0,,RPTNMLQLQHHGFCP27EA,0.0,0.0,0.0,無,
西螺鎮,土地,社西段536-8地號,74.05,住,,,1110816,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,399870,5400,,0.0,0,,RPUNMLQLQHHGFCP37EA,0.0,0.0,0.0,無,
西螺鎮,土地,社西段536-3地號,99.5,住,,,1110816,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,537300,5400,,0.0,0,,RPVNMLQLQHHGFCP47EA,0.0,0.0,0.0,無,
台西鄉,土地,明德段1442地號,3373.07,,一般農業區,農牧用地,1110812,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2250000,667,,0.0,0,,RPRNMLNLQHHGFFP96DA,0.0,0.0,0.0,無,
元長鄉,土地,長北段379地號,3729.0,,特定農業區,農牧用地,1110807,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4847700,1300,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLNLQHHGFEP66DA,0.0,0.0,0.0,無,
口湖鄉,建物,雲林縣口湖鄉聖安路４９巷３０號,0.0,,,,1110812,土地0建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1110324,161.16,3,2,3,有,無,3465000,21500,,0.0,0,,RPQNMLTKQHHGFEP27DA,152.23,0.0,8.93,無,
元長鄉,土地,龍岩厝段44地號,814.0,,特定農業區,農牧用地,1110818,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,814000,1000,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；畸零地或有合併使用效益；,RPXNMLNLQHHGFEP47DA,0.0,0.0,0.0,無,
