編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLLKNHHGFDB17CB,車路墘段車路墘小段,32.04,都市：住,100000,1767,持分移轉,00010172
RPPNMLMKNHHGFJB87CB,新興段,116.00,都市：住,1,1,全筆移轉,00530017
RPPNMLPKNHHGFAB27CB,東勢子段,23.71,都市：住,10000,24,持分移轉,00110000
RPTNMLNKNHHGFFB97CB,興農段,78.14,都市：住,1,1,全筆移轉,09590000
RPTNMLNKNHHGFFB97CB,興農段,.02,都市：住,14,1,持分移轉,09680000
RPTNMLNKNHHGFFB97CB,興農段,2.60,都市：住,1400000,19739,持分移轉,07890000
RPPNMLQKNHHGFBB47CB,竹興段,77.06,都市：住,1,1,全筆移轉,00780058
RPPNMLQKNHHGFBB47CB,竹興段,16.56,都市：住,10000,342,持分移轉,00780047
RPPNMLQKNHHGFBB47CB,竹興段,2.62,都市：住,38,1,持分移轉,00780035
RPPNMLPKNHHGFBB37CB,同榮段,29.27,都市：住,1000000,11351,持分移轉,33070000
RPQNMLPKNHHGFBB47CB,同榮段,29.74,都市：住,1000000,11534,持分移轉,33070000
RPTNMLMKNHHGFBB47CB,竹興段,144.38,都市：住,1,1,全筆移轉,00780060
RPTNMLMKNHHGFBB47CB,竹興段,.05,都市：住,10000,1,持分移轉,00780047
RPTNMLMKNHHGFBB47CB,竹興段,2.62,都市：住,38,1,持分移轉,00780035
RPRNMLQKNHHGFAB57CB,練武段,9.58,都市：商,100000,386,持分移轉,10550000
RPSNMLQKNHHGFAB67CB,練武段,9.43,都市：商,100000,380,持分移轉,10550000
RPPNMLQKNHHGFCB57CB,信安段,35.44,都市：住,100000,535,持分移轉,06980000
RPPNMLQKNHHGFCB57CB,信安段,9.30,都市：住,100000,535,持分移轉,07000000
RPPNMLQKNHHGFKB38CB,中山段,22.35,都市：住,100000,2686,持分移轉,12050035
RPPNMLQKNHHGFKB38CB,中山段,8.56,都市：住,100000,901,持分移轉,12050007
RPQNMLPKNHHGFAB37CB,東勢子段,23.71,都市：住,10000,24,持分移轉,00110000
RPQNMLQKNHHGFCB67CB,鑫大鵬段,45.53,都市：住,100000,1438,持分移轉,01540000
RPPNMLQKNHHGFAB37CB,練武段,13.42,都市：商,100000,541,持分移轉,10550000
RPRNMLRKNHHGFCB87CB,惠民段,9.65,都市：其他:第六種新市政中心專用區,100000,319,持分移轉,01150000
RPOOMLRKNHHGFCB67CB,惠民段,9.44,都市：其他:第六種新市政中心專用區,100000,312,持分移轉,01150000
RPRNMLRKNHHGFAB67CB,泉源段,14.12,都市：商,100000,120,持分移轉,00150000
RPTNMLRKNHHGFFB38CB,文光段,32.90,都市：住,10000,95,持分移轉,07830000
RPTNMLRKNHHGFAB87CB,泉源段,8.83,都市：商,100000,75,持分移轉,00150000
RPPOMLRKNHHGFCB77CB,惠民段,9.19,都市：其他:第六種新市政中心專用區,100000,304,持分移轉,01150000
RPSOMLRKNHHGFBB97CB,環中段,44.94,都市：住,100000,913,持分移轉,00500000
RPROMLRKNHHGFBB87CB,仁平段,61.56,都市：住,100000,1289,持分移轉,02660000
RPQOMLRKNHHGFBB77CB,仁平段,53.73,都市：住,100000,1125,持分移轉,02660000
RPTOMLRKNHHGFBB08CB,邱厝子段,92.00,都市：住,1,1,全筆移轉,01200008
RPTNMLRKNHHGFBB97CB,竹興段,63.16,都市：住,100000,1840,持分移轉,00130000
RPUOMLRKNHHGFBB18CB,太祥段,21.43,都市：住,100000,1577,持分移轉,00730000
RPVOMLRKNHHGFBB28CB,太祥段,21.39,都市：住,100000,1574,持分移轉,00730000
RPPNMLRKNHHGFEB87CB,賢仁段,24.95,都市：住,100000,1818,持分移轉,00390000
RPWOMLRKNHHGFBB38CB,太祥段,21.43,都市：住,100000,1577,持分移轉,00730000
RPPNMLSKNHHGFBB67CB,乾溝子段,26.17,都市：商,10000,41,持分移轉,01700000
RPXNMLSKNHHGFIB56CB,德芳段,3.85,都市：住,100000,1610,持分移轉,03220000
RPXNMLSKNHHGFIB56CB,德芳段,.37,都市：住,100000,1610,持分移轉,03220004
RPXNMLSKNHHGFIB56CB,德芳段,15.83,都市：住,100000,1610,持分移轉,03180000
RPXNMLSKNHHGFIB56CB,德芳段,6.54,都市：住,100000,1610,持分移轉,03200000
RPPNMLSKNHHGFKB58CB,瑞井段,21.18,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000000,16316,持分移轉,00650000
RPQNMLSKNHHGFGB28CB,東豐段,12.82,都市：住,100000,755,持分移轉,00290000
RPQNMLSKNHHGFGB28CB,東豐段,4.63,都市：住,100000,755,持分移轉,00350000
RPQNMLSKNHHGFGB28CB,東豐段,5.07,都市：住,100000,755,持分移轉,00360000
RPQNMLSKNHHGFGB28CB,東豐段,2.72,都市：住,100000,755,持分移轉,00370000
RPRNMLSKNHHGFCB97CB,西屯段,34.16,都市：住,10000,136,持分移轉,22590000
RPOPMLTKNHHGFCB97CB,福順段,59.09,都市：住,1,1,全筆移轉,01500005
RPOPMLTKNHHGFCB97CB,福順段,25.34,都市：住,10000,1001,持分移轉,01500014
RPQPMLTKNHHGFCB18CB,福順段,56.14,都市：住,1,1,全筆移轉,01500002
RPQPMLTKNHHGFCB18CB,福順段,25.34,都市：住,10000,1001,持分移轉,01500014
RPPNMLTKNHHGFJB58CB,樹孝段,29.27,都市：住,100000,1617,持分移轉,04720000
RPPNMLSKNHHGFGB18CB,東豐段,17.89,都市：住,100000,1054,持分移轉,00290000
RPPNMLSKNHHGFGB18CB,東豐段,6.47,都市：住,100000,1054,持分移轉,00350000
RPPNMLSKNHHGFGB18CB,東豐段,7.08,都市：住,100000,1054,持分移轉,00360000
RPRNMLTKNHHGFJB78CB,樹孝段,29.98,都市：住,100000,1656,持分移轉,04720000
RPPNMLSKNHHGFGB18CB,東豐段,3.80,都市：住,100000,1054,持分移轉,00370000
RPPNMLTKNHHGFBB77CB,竹興段,88.63,都市：住,100000,2582,持分移轉,00130000
RPQNMLTKNHHGFJB68CB,樹孝段,29.03,都市：住,100000,1604,持分移轉,04720000
RPPNMLKLNHHGFBB96CB,竹興段,33.43,都市：住,100000,974,持分移轉,00130000
RPSNMLKLNHHGFBB27CB,竹興段,55.78,都市：住,100000,1625,持分移轉,00130000
RPQNMLKLNHHGFBB07CB,竹興段,29.56,都市：住,100000,861,持分移轉,00130000
RPQNMLKLNHHGFHB67CB,自立段,71.41,都市：農,1,1,全筆移轉,19540002
RPQNMLKLNHHGFHB67CB,自立段,1.95,都市：農,4,1,持分移轉,19540004
RPQNMLKLNHHGFHB67CB,自立段,6.35,都市：農,2,1,持分移轉,19540005
RPQNMLKLNHHGFHB67CB,自立段,2.68,都市：農,100,14,持分移轉,19540006
RPPNMLKLNHHGFJB77CB,育賢段,24.88,都市：住,100000,1238,持分移轉,00090000
RPRNMLKLNHHGFBB17CB,竹興段,59.15,都市：住,100000,1723,持分移轉,00130000
RPPNMLKLNHHGFCB17DB,新富段,10.89,都市：住,1,1,全筆移轉,05970013
RPPNMLKLNHHGFCB17DB,新富段,88.74,都市：住,1,1,全筆移轉,05970017
RPPNMLKLNHHGFCB17DB,新富段,25.73,都市：住,17,1,持分移轉,05970024
RPQNMLKLNHHGFKB97CB,忠和段,30.50,都市：住,7650,305,持分移轉,25300004
RPPNMLKLNHHGFKB87CB,忠和段,30.50,都市：住,7650,305,持分移轉,25300004
RPRNMLKLNHHGFKB08CB,忠和段,30.50,都市：住,7650,305,持分移轉,25300004
RPUNMLKLNHHGFFB87CB,武秀段,73.00,都市：住,1,1,全筆移轉,02910015
RPUNMLKLNHHGFFB87CB,武秀段,.50,都市：住,42,1,持分移轉,02910057
