鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
長治鄉,房地(土地+建物),屏東縣長治鄉長春街一段５２號三樓之六,7.79,住,,,1110801,土地2建物2車位0,三層,六層,華廈(10層含以下有電梯),辦公用,鋼筋混凝土造,0930630,26.67,1,1,1,有,有,930000,34871,,0.0,0,,RPWNMLLJQHHGFAT96DA,10.66,0.43,1.55,有,
萬丹鄉,土地,崙頂段362地號,523.0,,一般農業區,水利用地,1110801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1100000,2103,,0.0,0,,RPVOMLMJQHHGFAT07DA,0.0,0.0,0.0,無,
屏東市,房地(土地+建物),屏東縣屏東巿建國路２７巷３６弄５號,74.0,住,,,1110801,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0641030,87.42,3,2,2,有,無,3700000,42324,,0.0,0,,RPRNMLSJQHHGFAT17DA,87.42,0.0,0.0,無,
琉球鄉,土地,本漁段588地號,9.73,住,,,1110802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,126000,12950,,0.0,0,,RPQOMLPJQHHGFDT17DA,0.0,0.0,0.0,無,0001
東港鎮,土地,新和段17地號,35.83,,,,1110805,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1949273,54403,,0.0,0,協議價購；,RPROMLPJQHHGFDT27DA,0.0,0.0,0.0,無,0002
屏東市,土地,豐田段314地號,120.5,住,,,1110801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7500000,62241,,0.0,0,,RPQNMLNLOHHGFAT56DA,0.0,0.0,0.0,無,
屏東市,房地(土地+建物),屏東縣屏東巿迪化街１０７號,71.0,住,,,1110804,土地2建物1車位0,全,二層,透天厝,住商用,加強磚造,0660503,94.24,3,3,4,有,無,6100000,64728,,0.0,0,,RPTNMLLKQHHGFAT76DA,94.24,0.0,0.0,無,0003
高樹鄉,土地,泰和段218-12地號,10528.31,,一般農業區,農牧用地,1110801,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12750000,1211,,0.0,0,農作物；,RPTNMLSJQHHGFBT47DA,0.0,0.0,0.0,無,
高樹鄉,土地,泰和段218-15地號,10479.14,,一般農業區,農牧用地,1110801,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12750000,1217,,0.0,0,農作物；,RPUNMLSJQHHGFBT57DA,0.0,0.0,0.0,無,
枋寮鄉,土地,玉泉段400地號,13372.06,,鄉村區,乙種建築用地,1110803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,61999999,4637,,0.0,0,政府機關標讓售；,RPSNMLTJQHHGFFT87DA,0.0,0.0,0.0,無,
屏東市,房地(土地+建物),屏東縣屏東巿公民街１５４巷１弄２之４號,26.4,住,,,1110802,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710810,77.13,3,1,1,有,無,2200000,28523,,0.0,0,,RPQNMLKKQHHGFAT09EA,66.59,0.0,0.0,無,
高樹鄉,土地,泰和段218地號,10470.9,,一般農業區,農牧用地,1110801,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12750000,1218,,0.0,0,農作物；,RPVNMLSJQHHGFBT67DA,0.0,0.0,0.0,無,
屏東市,房地(土地+建物)+車位,屏東縣屏東巿太原一路８２號六樓,24.92,住,,,1110802,土地1建物1車位1,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880120,132.35,3,2,2,有,有,773587,5845,坡道平面,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPWNMLMJQHHGFAT07DA,80.3,0.0,10.2,有,0004
竹田鄉,土地,六巷段399地號,49.86,,鄉村區,乙種建築用地,1110801,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,115141,2309,,0.0,0,被他人占用˙親友、員工、共有人或其他特殊關係間之交易；,RPQNMLRJQHHGFCT17DA,0.0,0.0,0.0,無,
琉球鄉,土地,大南段125地號,17.7,住,,,1110804,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,165000,9322,,0.0,0,,RPQNMLOJQHHGFDT96DA,0.0,0.0,0.0,無,0005
南州鄉,土地,同安段527地號,1341.18,,一般農業區,農牧用地,1110804,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2100000,1566,,0.0,0,,RPTNMLLKQHHGFDT07DA,0.0,0.0,0.0,無,0006
里港鄉,土地,過江段527-1地號,31.48,,,,1110801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,921105,29260,,0.0,0,政府機關標讓售；,RPQNMLMKQHHGFBT76EA,0.0,0.0,0.0,無,
恆春鎮,土地,大平頂段上大平頂小段251-8地號,5060.0,,山坡地保育區,農牧用地,1110804,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4300000,850,,0.0,0,,RPROMLMKQHHGFET17DA,0.0,0.0,0.0,無,
林邊鄉,土地,復興段249-1地號,55.84,,一般農業區,水利用地,1110811,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,79853,1430,,0.0,0,協議價購；,RPQNMLLKQHHGFDT76DA,0.0,0.0,0.0,無,0007
東港鎮,房地(土地+建物),屏東縣東港鎮沿海路５９號四樓,11.57,住,,,1110801,土地1建物1車位0,四層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860322,99.62,3,2,2,有,有,3100000,31118,,0.0,0,,RPPNMLMKQHHGFDT76DA,69.6,0.0,10.33,有,
萬巒鄉,房地(土地+建物),屏東縣萬巒鄉光明路５２之４號,37.44,,鄉村區,乙種建築用地,1110807,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0820929,54.16,3,1,3,有,無,1000000,18464,,0.0,0,,RPVOMLQKQHHGFCT77DA,52.82,1.34,0.0,無,
內埔鄉,土地,上東勢段594地號,2522.0,,特定農業區,農牧用地,1110806,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7000000,2776,,0.0,0,,RPQOMLPKQHHGFCT17DA,0.0,0.0,0.0,無,
新埤鄉,土地,萬隆段1089-4地號,2633.09,,一般農業區,農牧用地,1110801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4600000,1747,,0.0,0,,RPQOMLLKQHHGFCT76DA,0.0,0.0,0.0,無,
潮州鎮,房地(土地+建物),屏東縣潮州鎮光明路９３號五樓之三,36.73,,鄉村區,乙種建築用地,1110804,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0820501,119.53,3,2,2,有,無,2200000,18405,,0.0,0,,RPROMLLKQHHGFCT86DA,94.28,0.0,8.83,無,
鹽埔鄉,土地,大仁東段111地號,2323.96,,一般農業區,農牧用地,1110808,土地8建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3210000,1381,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPRNMLQKQHHGFBT17DA,0.0,0.0,0.0,無,0008
崁頂鄉,土地,頂孝段730地號,1989.21,,一般農業區,農牧用地,1110805,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4800000,2413,,0.0,0,,RPPNMLRJQHHGFDT17DA,0.0,0.0,0.0,無,
新園鄉,土地,鹽埔段201地號,44.1,住,,,1110809,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,300000,6803,,0.0,0,畸零地或有合併使用效益；,RPRNMLPKQHHGFDT27DA,0.0,0.0,0.0,無,
新園鄉,土地,鹽埔段200地號,44.06,住,,,1110809,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,300000,6809,,0.0,0,畸零地或有合併使用效益；,RPSNMLPKQHHGFDT37DA,0.0,0.0,0.0,無,
牡丹鄉,土地,東源段1804地號,32774.0,,山坡地保育區,農牧用地,1110808,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4916100,150,,0.0,0,,RPRNMLPKQHHGFET37DA,0.0,0.0,0.0,無,
九如鄉,土地,九明段388地號,767.71,,一般農業區,農牧用地,1110808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,280000,365,,0.0,0,無道路可通行，需經過買方土地通行。瑕疵物件；,RPRNMLQKQHHGFAT17EA,0.0,0.0,0.0,無,
里港鄉,土地,中萬甲段1155地號,34.97,,一般農業區,甲種建築用地,1110802,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,529000,15127,,0.0,0,,RPROMLQKQHHGFBT37EA,0.0,0.0,0.0,無,
獅子鄉,土地,獅子段153地號,25002.5,,山坡地保育區,林業用地,1110812,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,500000,20,,0.0,0,,RPPNMLRKQHHGFFT57EA,0.0,0.0,0.0,無,
枋寮鄉,土地,德興段484地號,93.25,住,,,1110805,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,671400,7200,,0.0,0,,RPSNMLRKQHHGFFT87EA,0.0,0.0,0.0,無,
枋寮鄉,房地(土地+建物),屏東縣枋寮鄉市場街６４巷３１號,79.69,住,,,1110805,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土造,0811222,119.47,3,2,3,有,無,2800000,23437,,0.0,0,,RPTNMLRKQHHGFFT97EA,104.47,15.0,0.0,無,
車城鄉,土地,保安段125地號,83.35,,鄉村區,乙種建築用地,1110802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,800000,9598,,0.0,0,未登記建物；,RPQNMLRKQHHGFET57EA,0.0,0.0,0.0,無,0009
車城鄉,土地,保安段302地號,5.33,,鄉村區,乙種建築用地,1110802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,40000,7505,,0.0,0,,RPRNMLRKQHHGFET67EA,0.0,0.0,0.0,無,
滿州鄉,土地,fc62fbf2束段74地號,2752.0,,國家公園區,,1110801,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,727,,0.0,0,,RPUNMLRKQHHGFET87DA,0.0,0.0,0.0,無,0010
滿州鄉,土地,fc62fbf2束段102-2地號,3085.0,,國家公園區,,1110802,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2600000,843,,0.0,0,,RPVNMLRKQHHGFET97DA,0.0,0.0,0.0,無,
恆春鎮,土地,大平頂段上大平頂小段32地號,1203.69,,山坡地保育區,農牧用地,1110802,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1720705,1430,,0.0,0,,RPRNMLLKQHHGFET96DA,0.0,0.0,0.0,無,
東港鎮,房地(土地+建物),屏東縣東港鎮鎮海路１０７之４號,68.86,住,,,1110803,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土造,0660608,87.8,5,3,3,有,無,1438766,16387,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLQKQHHGFDT27DA,87.8,0.0,0.0,無,
林邊鄉,土地,鎮安段1230-1地號,54.02,,一般農業區,交通用地,1110801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,334904,6200,,0.0,0,「台17線261K+440嗂仔口橋改建工程」用地協議價購案協議價購；,RPVNMLNLQHHGFDT57DA,0.0,0.0,0.0,無,0011
林邊鄉,土地,鎮安段1230-1地號,54.02,,一般農業區,交通用地,1110801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,334903,6200,,0.0,0,「台17線261K+440嗂仔口橋改建工程」用地協議價購案協議價購；,RPWNMLNLQHHGFDT67DA,0.0,0.0,0.0,無,0011
林邊鄉,土地,鎮安段1230-1地號,54.02,,一般農業區,交通用地,1110801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,334903,6200,,0.0,0,「台17線261K+440嗂仔口橋改建工程」用地協議價購案協議價購；,RPXNMLNLQHHGFDT77DA,0.0,0.0,0.0,無,0011
林邊鄉,土地,鎮安段1232-1地號,52.51,,一般農業區,交通用地,1110801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,325582,6200,,0.0,0,「台17線261K+440嗂仔口橋改建工程」用地協議價購案協議價購；,RPOOMLNLQHHGFDT96DA,0.0,0.0,0.0,無,0014
林邊鄉,土地,鎮安段1232-1地號,52.51,,一般農業區,交通用地,1110801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,325583,6200,,0.0,0,「台17線261K+440嗂仔口橋改建工程」用地協議價購案協議價購；,RPPOMLNLQHHGFDT07DA,0.0,0.0,0.0,無,0014
林邊鄉,土地,鎮安段1232-1地號,52.51,,一般農業區,交通用地,1110801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,325583,6200,,0.0,0,「台17線261K+440嗂仔口橋改建工程」用地協議價購案協議價購；,RPQOMLNLQHHGFDT17DA,0.0,0.0,0.0,無,0014
林邊鄉,土地,鎮安段1233-4地號,3.38,,一般農業區,交通用地,1110801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,23663,7001,,0.0,0,「台17線261K+440嗂仔口橋改建工程」用地協議價購案協議價購；,RPROMLNLQHHGFDT27DA,0.0,0.0,0.0,無,0017
林邊鄉,土地,鎮安段1233-4地號,3.38,,一般農業區,交通用地,1110801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,23663,7001,,0.0,0,「台17線261K+440嗂仔口橋改建工程」用地協議價購案協議價購；,RPSOMLNLQHHGFDT37DA,0.0,0.0,0.0,無,0017
林邊鄉,土地,鎮安段1233-4地號,17.84,,一般農業區,交通用地,1110801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,124874,7000,,0.0,0,「台17線261K+440嗂仔口橋改建工程」用地協議價購案協議價購；,RPTOMLNLQHHGFDT47DA,0.0,0.0,0.0,無,0017
林邊鄉,土地,鎮安段1238-2地號,712.28,,一般農業區,交通用地,1110801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4711020,6614,,0.0,0,「台17線261K+440嗂仔口橋改建工程」用地協議價購案協議價購；,RPUOMLNLQHHGFDT57DA,0.0,0.0,0.0,無,
潮州鎮,土地,五魁段348-1地號,59.38,農,,,1110803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,775503,13060,,0.0,0,政府機關標讓售；,RPPNMLRKQHHGFCT17DA,0.0,0.0,0.0,無,
萬巒鄉,土地,新厝段一小段365-1地號,144.2,,一般農業區,甲種建築用地,1110808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,430000,2982,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUNMLRKQHHGFCT67DA,0.0,0.0,0.0,無,
內埔鄉,房地(土地+建物),屏東縣內埔鄉統嶺巷２５２號四樓之九,6.96,,一般農業區,甲種建築用地,1110801,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0881130,22.48,1,0,1,有,有,480000,21352,,0.0,0,,RPSOMLRKQHHGFCT57DA,14.52,0.0,1.59,無,0020
新埤鄉,土地,萬隆段1089地號,2639.0,,一般農業區,農牧用地,1110801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4700000,1781,,0.0,0,,RPWNMLLKQHHGFCT27DA,0.0,0.0,0.0,無,0021
新埤鄉,土地,萬隆段1089-3地號,2639.0,,一般農業區,農牧用地,1110801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4650000,1762,,0.0,0,,RPPOMLLKQHHGFCT66DA,0.0,0.0,0.0,無,
內埔鄉,土地,興義段236-1地號,163.57,,鄉村區,乙種建築用地,1110806,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,6114,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPOMLPKQHHGFCT07DA,0.0,0.0,0.0,無,
九如鄉,房地(土地+建物),屏東縣九如鄉東興街２７之１號,107.71,住,,,1110806,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0831105,193.92,5,2,5,有,無,6000000,30941,,0.0,0,,RPXOMLTJQHHGFAT97DA,172.99,14.98,5.95,無,0022
屏東市,房地(土地+建物)+車位,屏東縣屏東巿清寧街１０６巷１５號,44.8,住,,,1110808,土地1建物1車位1,一層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1070330,67.56,2,2,2,有,無,6700000,99171,一樓平面,0.0,0,,RPQOMLSKQHHGFAT27DA,55.1,0.0,0.0,有,
長治鄉,房地(土地+建物),屏東縣長治鄉香楊路３３號七樓之六,2.2,商,,,1110807,土地4建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841006,28.89,1,1,1,有,有,1550000,53652,,0.0,0,,RPPNMLPKQHHGFAT76DA,20.89,0.0,0.0,有,
屏東市,房地(土地+建物),屏東縣屏東巿武順街９８號六樓之一,17.44,住,,,1110808,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830519,105.96000000000001,3,1,1,有,有,3300000,31144,,0.0,0,,RPWNMLPKQHHGFAT47DA,60.78,0.0,10.2,有,
潮州鎮,土地,蓬萊段77地號,150.74,,鄉村區,交通用地,1110801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,150000,995,,0.0,0,本案土地為鄉村區交通用地,RPRNMLLKQHHGFCT76DA,0.0,0.0,0.0,無,
內埔鄉,房地(土地+建物),屏東縣內埔鄉新展路３巷６０號,2592.6,,一般農業區,農牧用地,1110802,土地1建物1車位0,全,一層,透天厝,農業用,鋼骨構造,1070330,48.0,0,0,1,有,無,6000000,125000,,0.0,0,本案移轉建物為農業資材室,RPWNMLRKQHHGFCT87DA,48.0,0.0,0.0,無,
內埔鄉,土地,fbf5頭鏢段79-4地號,1148.0,,一般農業區,農牧用地,1110809,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,1742,,0.0,0,農作物；,RPROMLRKQHHGFCT47DA,0.0,0.0,0.0,無,
林邊鄉,房地(土地+建物),屏東縣林邊鄉仁和路１２２號八樓,13.99,住,,,1110804,土地1建物1車位0,八層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840808,99.08000000000001,3,2,2,有,有,2200000,22204,,0.0,0,,RPUNMLLKQHHGFDT17DA,70.02,2.4,9.84,有,
琉球鄉,土地,大寮段212地號,188.47,住,,,1110801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3762000,19961,,0.0,0,,RPWNMLLJQHHGFDT27DA,0.0,0.0,0.0,無,
長治鄉,土地,崑崙段270地號,320.47,,一般農業區,農牧用地,1110810,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,350000,1092,,0.0,0,袋地,RPVNMLQKQHHGFAT57EA,0.0,0.0,0.0,無,
屏東市,房地(土地+建物),屏東縣屏東巿民享一路１４３號四樓之三,17.22,住,,,1110802,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1020916,65.99000000000001,2,1,1,有,有,4250000,64404,,0.0,0,,RPPNMLTKQHHGFAT27EA,39.86,5.41,3.47,有,0023
鹽埔鄉,房地(土地+建物),屏東縣鹽埔鄉忠誠街３２號五樓之一,14.65,,鄉村區,乙種建築用地,1110808,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850729,44.5,1,0,1,有,無,900000,20225,,0.0,0,土地價款新台幣587250元整，房屋價款新台幣312750元整,RPTOMLQKQHHGFBT57EA,24.75,0.0,10.34,有,
恆春鎮,土地,一心段122地號,161.58,,一般農業區,甲種建築用地,1110809,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,12378,,0.0,0,未登記建物；,RPSNMLTKQHHGFET87DA,0.0,0.0,0.0,無,
東港鎮,房地(土地+建物),屏東縣東港鎮興東二街５６號五樓,23.49,住,,,1110809,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821120,114.65,3,1,2,有,無,3300000,28783,,0.0,0,,RPUNMLRKQHHGFDT77DA,79.08,0.0,3.92,有,0024
東港鎮,房地(土地+建物)+車位,屏東縣東港鎮嘉和街３１號三樓之二,33.98,住,,,1110812,土地2建物1車位1,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,1110406,106.27000000000001,3,2,2,有,有,4480000,42157,,0.0,0,,RPUNMLMKQHHGFDT27DA,59.12,0.0,6.83,有,0025
林邊鄉,土地,銀放索段85地號,1000.34,,一般農業區,養殖用地,1110812,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,500000,500,,0.0,0,,RPSNMLSKQHHGFDT67DA,0.0,0.0,0.0,無,0026
內埔鄉,房地(土地+建物),屏東縣內埔鄉大同路三段３５巷３９號,4895.82,,一般農業區,農牧用地,1110801,土地2建物1車位0,全,二層,透天厝,農業用,鋼筋混凝土造,1000114,240.74,3,2,3,有,無,14724000,61161,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPWNMLSKQHHGFCT97DA,219.14,0.0,21.6,無,
內埔鄉,房地(土地+建物),屏東縣內埔鄉學人路６６０巷４９號,75.47,住,,,1110809,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土造,0710929,90.8,3,2,2,有,無,2800000,30837,,0.0,0,,RPOPMLRKQHHGFCT27DA,90.8,0.0,0.0,無,
內埔鄉,土地,fbf5頭鏢段408地號,95.25,,鄉村區,乙種建築用地,1110808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,400000,4199,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPUOMLSKQHHGFCT87DA,0.0,0.0,0.0,無,
竹田鄉,土地,頓物段68地號,707.27,農,,,1110801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,1414,,0.0,0,祭祀公業土地移轉,RPTNMLTKQHHGFCT77DA,0.0,0.0,0.0,無,
內埔鄉,土地,東勢段1245地號,1897.82,,一般農業區,農牧用地,1110801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2500000,1317,,0.0,0,,RPPOMLSKQHHGFCT37DA,0.0,0.0,0.0,無,
內埔鄉,房地(土地+建物),屏東縣內埔鄉統嶺巷２５０號五樓之八,5.71,,一般農業區,甲種建築用地,1110809,土地1建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0881130,17.15,1,0,1,有,有,470000,27405,,0.0,0,,RPTNMLLKQHHGFCT96DA,11.92,0.0,0.0,有,0027
內埔鄉,房地(土地+建物),屏東縣內埔鄉統嶺巷２５２號五樓之六,6.86,,一般農業區,甲種建築用地,1110809,土地1建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0881130,23.560000000000002,1,0,1,有,有,500000,21222,,0.0,0,,RPPNMLLKQHHGFCT56DA,14.31,0.0,2.97,有,0028
萬丹鄉,土地,萬後段118地號,1168.0,農,,,1110804,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15800000,13527,,0.0,0,未登記建物；機電設備；,RPQNMLLKQHHGFAT09DA,0.0,0.0,0.0,無,
屏東市,土地,明正段985地號,72.0,,,,1110809,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,900000,12500,,0.0,0,,RPQNMLTKQHHGFAT27DA,0.0,0.0,0.0,無,0029
屏東市,土地,明正段985地號,36.0,,,,1110815,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,450000,12500,,0.0,0,,RPTNMLTKQHHGFAT57DA,0.0,0.0,0.0,無,0029
長治鄉,房地(土地+建物),屏東縣長治鄉長春街一段５２號二樓之十三,6.29,住,,,1110801,土地2建物1車位0,二層,六層,華廈(10層含以下有電梯),辦公用,鋼筋混凝土造,0930630,21.68,1,1,1,有,有,900000,41513,,0.0,0,,RPPNMLOJQHHGFAT56DA,10.59,0.43,1.55,有,
長治鄉,房地(土地+建物)+車位,屏東縣長治鄉中興路４９７之２５號,170.68,,鄉村區,乙種建築用地,1110805,土地5建物1車位1,全,三層,透天厝,住家用,鋼筋混凝土造,1100917,214.56,5,2,4,有,無,13900000,64784,一樓平面,0.0,0,,RPTPMLPJQHHGFAT27DA,200.32,0.0,14.24,無,
屏東市,房地(土地+建物),屏東縣屏東巿自由路８５號八樓之四,3.17,商,,,1110806,土地1建物1車位0,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831104,33.8,1,0,1,有,有,1230000,36391,,0.0,0,,RPRNMLTJQHHGFAT27DA,19.92,0.0,2.33,有,
屏東市,房地(土地+建物),屏東縣屏東巿民和二路４８之１５號七樓,4.05,住,,,1110814,土地1建物1車位0,七層,八層,華廈(10層含以下有電梯),辦公用,鋼筋混凝土造,0960530,17.12,1,1,1,有,有,850000,49650,,0.0,0,,RPTOMLSKQHHGFAT57DA,6.51,0.26,2.04,有,0031
內埔鄉,房地(土地+建物),屏東縣內埔鄉統嶺巷２５２號五樓之七,8.39,,一般農業區,甲種建築用地,1110809,土地1建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0881130,29.57,1,0,1,有,有,550000,18600,,0.0,0,,RPOOMLKKQHHGFCT09DA,17.51,0.0,4.38,有,0032
潮州鎮,房地(土地+建物),屏東縣潮州鎮南京路８巷３號,64.44,住,,,1110808,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0660728,95.2,3,1,1,有,無,500000,5252,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTOMLMLQHHGFCT27DA,95.2,0.0,0.0,無,
潮州鎮,土地,光華段123地號,143.19,,一般農業區,水利用地,1110812,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,410955,2870,,0.0,0,政府機關標讓售；,RPRNMLNLQHHGFCT07DA,0.0,0.0,0.0,無,
高樹鄉,土地,源興段949-2地號,2505.37,,一般農業區,農牧用地,1110801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3106658,1240,,0.0,0,農作物；,RPQOMLRKQHHGFBT27DA,0.0,0.0,0.0,無,
琉球鄉,土地,相埔段798-10地號,161.04,住,,,1110803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2510000,15586,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLSKQHHGFDT77DA,0.0,0.0,0.0,無,0033
林邊鄉,土地,富田段80地號,525.76,農,,,1110801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,975600,1856,,0.0,0,,RPRNMLMKQHHGFDT96DA,0.0,0.0,0.0,無,
林邊鄉,土地,富田段83地號,956.55,農,,,1110801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1774800,1855,,0.0,0,,RPSNMLMKQHHGFDT07DA,0.0,0.0,0.0,無,
琉球鄉,土地,大寮段457-5地號,72.56,住,,,1110812,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,680431,9377,,0.0,0,,RPTNMLMKQHHGFDT17DA,0.0,0.0,0.0,無,
