編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQPMLTKJHGGFBG28EB,吉祥一段,13.68,都市：農,1,1,全筆移轉,04120019
RPQNMLKLJHGGFBG27EB,吉祥一段,14.36,都市：農,1,1,全筆移轉,04120025
RPQPMLTKJHGGFBG28EB,吉祥一段,70.67,都市：農,1,1,全筆移轉,04120036
RPQPMLTKJHGGFBG28EB,吉祥一段,8.50,都市：農,18,1,持分移轉,04130002
RPQNMLKLJHGGFBG27EB,吉祥一段,67.23,都市：農,1,1,全筆移轉,04120030
RPQNMLKLJHGGFBG27EB,吉祥一段,8.50,都市：農,18,1,持分移轉,04130002
RPPNMLKLJHGGFBG17EB,吉祥一段,13.23,都市：農,1,1,全筆移轉,04120024
RPPNMLKLJHGGFBG17EB,吉祥一段,68.36,都市：農,1,1,全筆移轉,04120031
RPPNMLKLJHGGFBG17EB,吉祥一段,8.50,都市：農,18,1,持分移轉,04130002
RPWPMLTKJHGGFBG88EB,吉祥一段,13.23,都市：農,1,1,全筆移轉,04120023
RPWPMLTKJHGGFBG88EB,吉祥一段,68.36,都市：農,1,1,全筆移轉,04120032
RPWPMLTKJHGGFBG88EB,吉祥一段,8.50,都市：農,18,1,持分移轉,04130002
RPVNMLKLJHGGFBG77EB,吉祥一段,13.68,都市：農,1,1,全筆移轉,04120018
RPVNMLKLJHGGFBG77EB,吉祥一段,70.67,都市：農,1,1,全筆移轉,04120000
RPVNMLKLJHGGFBG77EB,吉祥一段,8.50,都市：農,18,1,持分移轉,04130002
RPRNMLKLJHGGFBG37EB,吉祥一段,19.85,都市：農,1,1,全筆移轉,04120026
RPRNMLKLJHGGFBG37EB,吉祥一段,61.74,都市：農,1,1,全筆移轉,04120029
RPRNMLKLJHGGFBG37EB,吉祥一段,8.50,都市：農,18,1,持分移轉,04130002
RPPOMLKLJHGGFBG27EB,吉祥一段,13.23,都市：農,1,1,全筆移轉,04120017
RPPOMLKLJHGGFBG27EB,吉祥一段,68.35,都市：農,1,1,全筆移轉,04120002
RPPOMLKLJHGGFBG27EB,吉祥一段,8.50,都市：農,18,1,持分移轉,04130002
RPVPMLTKJHGGFBG78EB,吉祥一段,13.23,都市：農,1,1,全筆移轉,04120022
RPVPMLTKJHGGFBG78EB,吉祥一段,68.36,都市：農,1,1,全筆移轉,04120033
RPVPMLTKJHGGFBG78EB,吉祥一段,8.50,都市：農,18,1,持分移轉,04130002
RPSPMLTKJHGGFBG48EB,吉祥一段,13.23,都市：農,1,1,全筆移轉,04120020
RPSPMLTKJHGGFBG48EB,吉祥一段,68.36,都市：農,1,1,全筆移轉,04120035
RPSPMLTKJHGGFBG48EB,吉祥一段,8.50,都市：農,18,1,持分移轉,04130002
RPTPMLTKJHGGFBG58EB,吉祥一段,13.23,都市：農,1,1,全筆移轉,04120021
RPTPMLTKJHGGFBG58EB,吉祥一段,68.36,都市：農,1,1,全筆移轉,04120034
RPTPMLTKJHGGFBG58EB,吉祥一段,8.50,都市：農,18,1,持分移轉,04130002
RPPPMLKLJHGGFBG37EB,吉祥一段,13.23,都市：農,1,1,全筆移轉,04120014
RPPPMLKLJHGGFBG37EB,吉祥一段,68.35,都市：農,1,1,全筆移轉,04120005
RPROMLKLJHGGFBG47EB,吉祥一段,13.23,都市：農,1,1,全筆移轉,04120015
RPPPMLKLJHGGFBG37EB,吉祥一段,8.50,都市：農,18,1,持分移轉,04130002
RPROMLKLJHGGFBG47EB,吉祥一段,68.35,都市：農,1,1,全筆移轉,04120004
RPROMLKLJHGGFBG47EB,吉祥一段,8.50,都市：農,18,1,持分移轉,04130002
RPQOMLKLJHGGFBG37EB,吉祥一段,13.23,都市：農,1,1,全筆移轉,04120016
RPQOMLKLJHGGFBG37EB,吉祥一段,68.35,都市：農,1,1,全筆移轉,04120003
RPQOMLKLJHGGFBG37EB,吉祥一段,8.50,都市：農,18,1,持分移轉,04130002
RPXPMLKLJHGGFBG18EB,吉祥一段,13.23,都市：農,1,1,全筆移轉,04120013
RPXPMLKLJHGGFBG18EB,吉祥一段,68.35,都市：農,1,1,全筆移轉,04120006
RPXPMLKLJHGGFBG18EB,吉祥一段,8.50,都市：農,18,1,持分移轉,04130002
RPSNMLLLJHGGFBG57EB,吉祥一段,20.56,都市：農,1,1,全筆移轉,04120010
RPSNMLLLJHGGFBG57EB,吉祥一段,63.98,都市：農,1,1,全筆移轉,04120009
RPSNMLLLJHGGFBG57EB,吉祥一段,8.50,都市：農,18,1,持分移轉,04130002
RPQOMLMLJHGGFBG57EB,吉祥一段,20.56,都市：農,1,1,全筆移轉,04120027
RPQOMLMLJHGGFBG57EB,吉祥一段,63.98,都市：農,1,1,全筆移轉,04120028
RPQOMLMLJHGGFBG57EB,吉祥一段,8.50,都市：農,18,1,持分移轉,04130002
RPRNMLLLJHGGFBG47EB,吉祥一段,19.85,都市：農,1,1,全筆移轉,04120011
RPRNMLLLJHGGFBG47EB,吉祥一段,61.74,都市：農,1,1,全筆移轉,04120008
RPRNMLLLJHGGFBG47EB,吉祥一段,8.50,都市：農,18,1,持分移轉,04130002
RPOQMLKLJHGGFBG37EB,吉祥一段,14.36,都市：農,1,1,全筆移轉,04120012
RPOQMLKLJHGGFBG37EB,吉祥一段,67.23,都市：農,1,1,全筆移轉,04120007
RPOQMLKLJHGGFBG37EB,吉祥一段,8.50,都市：農,18,1,持分移轉,04130002
