編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPOMLKLJIPFFAO68CB,坡道平面,0,24.75,地下一樓
RPPOMLKLJIPFFAO68CB,坡道平面,0,24.75,地下一樓
RPROMLKLJIPFFAO88CB,坡道平面,0,24.75,地下三樓
RPROMLKLJIPFFAO88CB,坡道平面,0,24.75,地下三樓
RPWRMLKLJIPFFAO07CB,坡道平面,0,24.75,地下二樓
RPWRMLKLJIPFFAO07CB,坡道平面,0,24.75,地下二樓
RPTOMLPLJIPFFAO96CB,坡道平面,0,24.75,地下一樓
RPTOMLPLJIPFFAO96CB,坡道平面,0,22.29,地下一樓
RPXNMLPLJIPFFAO27CB,坡道平面,0,22.77,地下二樓
RPXNMLPLJIPFFAO27CB,坡道平面,0,24.75,地下二樓
RPVOMLPLJIPFFAO17CB,坡道平面,0,24.75,地下一樓
RPVOMLPLJIPFFAO17CB,坡道平面,0,24.75,地下一樓
RPQOMLPLJIPFFAO66CB,坡道平面,0,24.75,地下二樓
RPQOMLPLJIPFFAO66CB,坡道平面,0,24.75,地下二樓
RPQOMLKLJIPFFAO78CB,坡道平面,0,24.75,地下一樓
RPQOMLKLJIPFFAO78CB,坡道平面,0,22.29,地下一樓
RPUOMLPLJIPFFAO07CB,坡道平面,0,24.75,地下二樓
RPUOMLPLJIPFFAO07CB,坡道平面,0,24.75,地下二樓
RPROMLPLJIPFFAO76CB,坡道平面,0,22.29,地下一樓
RPROMLPLJIPFFAO76CB,坡道平面,0,24.75,地下一樓
RPWOMLPLJIPFFAO27CB,坡道平面,0,24.75,地下一樓
RPWOMLPLJIPFFAO27CB,坡道平面,0,24.75,地下一樓
RPXOMLPLJIPFFAO37CB,坡道平面,0,24.75,地下二樓
RPXOMLPLJIPFFAO37CB,坡道平面,0,24.75,地下二樓
RPOPMLPLJIPFFAO56CB,坡道平面,0,22.29,地下一樓
RPOPMLPLJIPFFAO56CB,坡道平面,0,24.75,地下一樓
RPRPMLPLJIPFFAO86CB,坡道平面,0,24.75,地下一樓
RPRPMLPLJIPFFAO86CB,坡道平面,0,24.75,地下一樓
RPRPMLPLJIPFFAO86CB,坡道平面,0,24.75,地下一樓
RPQPMLPLJIPFFAO76CB,坡道平面,0,24.75,地下一樓
RPQPMLPLJIPFFAO76CB,坡道平面,0,24.75,地下一樓
RPPPMLPLJIPFFAO66CB,坡道平面,0,22.29,地下二樓
RPPPMLPLJIPFFAO66CB,坡道平面,0,24.75,地下二樓
RPSPMLPLJIPFFAO96CB,坡道平面,0,22.29,地下二樓
RPSPMLPLJIPFFAO96CB,坡道平面,0,24.75,地下二樓
RPTPMLPLJIPFFAO07CB,坡道平面,0,24.75,地下三樓
RPTPMLPLJIPFFAO07CB,坡道平面,0,22.29,地下三樓
RPVPMLPLJIPFFAO27CB,坡道平面,0,24.75,地下三樓
RPVPMLPLJIPFFAO27CB,坡道平面,0,24.75,地下三樓
RPUPMLPLJIPFFAO17CB,坡道平面,0,24.75,地下三樓
RPUPMLPLJIPFFAO17CB,坡道平面,0,24.75,地下三樓
RPXPMLPLJIPFFAO47CB,坡道平面,0,24.75,地下三樓
RPXPMLPLJIPFFAO47CB,坡道平面,0,24.75,地下三樓
RPWPMLPLJIPFFAO37CB,坡道平面,0,24.75,地下二樓
RPWPMLPLJIPFFAO37CB,坡道平面,0,24.75,地下二樓
RPPQMLPLJIPFFAO76CB,坡道平面,0,24.75,地下二樓
RPPQMLPLJIPFFAO76CB,坡道平面,0,24.75,地下二樓
RPQQMLPLJIPFFAO86CB,坡道平面,0,22.29,地下三樓
RPQQMLPLJIPFFAO86CB,坡道平面,0,24.75,地下三樓
RPOQMLPLJIPFFAO66CB,坡道平面,0,24.75,地下二樓
RPOQMLPLJIPFFAO66CB,坡道平面,0,22.29,地下二樓
RPRQMLPLJIPFFAO96CB,坡道平面,0,24.75,地下二樓
RPRQMLPLJIPFFAO96CB,坡道平面,0,24.75,地下二樓
RPSQMLPLJIPFFAO07CB,坡道平面,0,24.75,地下三樓
RPSQMLPLJIPFFAO07CB,坡道平面,0,24.75,地下三樓
RPTQMLPLJIPFFAO17CB,坡道平面,0,24.75,地下二樓
RPTQMLPLJIPFFAO17CB,坡道平面,0,24.75,地下二樓
RPUQMLPLJIPFFAO27CB,坡道平面,0,24.75,地下二樓
RPUQMLPLJIPFFAO27CB,坡道平面,0,22.29,地下二樓
RPVQMLPLJIPFFAO37CB,坡道平面,1200000,22.29,地下一樓
RPXQMLPLJIPFFAO57CB,坡道平面,1300000,24.75,地下三樓
RPWQMLPLJIPFFAO47CB,坡道平面,1300000,24.75,地下三樓
RPPRMLPLJIPFFAO86CB,坡道平面,1300000,24.75,地下二樓
RPSRMLPLJIPFFAO17CB,坡道平面,0,22.29,地下三樓
RPSRMLPLJIPFFAO17CB,坡道平面,0,24.75,地下三樓
RPORMLPLJIPFFAO76CB,坡道平面,1300000,24.75,地下一樓
RPTRMLPLJIPFFAO27CB,坡道平面,0,24.75,地下二樓
RPTRMLPLJIPFFAO27CB,坡道平面,0,24.75,地下二樓
RPRRMLPLJIPFFAO07CB,坡道平面,1200000,24.75,地下一樓
RPVRMLPLJIPFFAO47CB,坡道平面,0,24.75,地下三樓
RPVRMLPLJIPFFAO47CB,坡道平面,0,24.75,地下三樓
RPXRMLPLJIPFFAO67CB,坡道平面,0,24.75,地下三樓
RPXRMLPLJIPFFAO67CB,坡道平面,0,24.75,地下三樓
RPOSMLPLJIPFFAO86CB,坡道平面,0,22.29,地下一樓
