編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLRLJIPFFBK56CC,福安段,32.10,都市：住,,,,02190000
RPUNMLOJKIPFFBK56CC,福安段,18.00,都市：住,,,,04280000
RPRNMLPKKIPFFDK66CC,新博愛段,93.72,都市：住,,,,09800000
RPRNMLPKKIPFFDK66CC,新博愛段,387.68,都市：住,,,,09810000
RPQNMLPKKIPFFDK56CC,新博愛段,93.72,都市：住,,,,09800000
RPWNMLSJKIPFFDK37CC,崎工段,139.00,非都市：工業區 ; 非都市編定：丁種建築用地,,,,02710001
RPQNMLPKKIPFFDK56CC,新博愛段,387.68,都市：住,,,,09810000
RPPNMLLKJHGGFBK47CC,苗栗段,12.94,都市：住,,,,09340001
RPTOMLLLJHGGFDK28CC,大同段,.00,都市：住,,,,13390000
RPVNMLOJJHGGFBK28CC,恭敬段,19.83,都市：住,,,,09940000
RPWNMLPJJHGGFBK48CC,苗栗段,112.00,都市：住,,,,13530004
RPRNMLMJKHGGFBK77CC,五谷岡段,280.00,都市：工,,,,05380006
RPSOMLPJJHGGFDK38CC,維新段,133.63,都市：住,,,,03900000
RPVNMLNJKHGGFFK68CC,後湖段,41.21,都市：商,,,,09490000
RPUNMLMJKHGGFBK08CC,巨蛋段,1222.50,都市：住,,,,09110000
RPUNMLRJJHGGFDK68CC,大同段,71.36,都市：住,,,,09590004
RPTNMLSJKHGGFBK58CC,新頭屋段,11208.31,非都市：一般農業區 ; 非都市編定：農牧用地,,,,01110000
RPUNMLRJJHGGFDK68CC,大同段,71.62,都市：住,,,,09590005
RPUNMLRJJHGGFDK68CC,大同段,110.13,都市：住,,,,09590006
RPVPMLRJJHGGFFK56CC,仁愛段,200.24,都市：工,,,,07240000
