編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPVOMLLKJIPFFCD48CC,46,77.44,住家用,加強磚造,63年11月13日,二層,,
RPROMLLKJIPFFAD87CC,36,28.51,住家用,鋼筋混凝土造,73年12月28日,十四層,,
RPTOMLLKJIPFFCD28CC,37,26.58,住家用,鋼筋混凝土造,72年9月8日,七層,,
RPROMLLKJIPFFAD87CC,36,10.16,共有部分,鋼筋混凝土造,73年12月28日,十四層,,
RPTOMLLKJIPFFCD28CC,37,12.62,共有部分,鋼筋混凝土造,72年9月8日,七層,,
RPUOMLLKJIPFFCD38CC,26,100.48,住家用,鋼筋混凝土造,83年11月7日,九層,,
RPUOMLLKJIPFFCD38CC,26,49.90,共有部分,鋼筋混凝土造,83年11月7日,九層,,
RPPOMLLKJIPFFKD68CC,30,29.37,辦公室。,鋼筋混凝土造,80年3月15日,七層,,
RPPOMLLKJIPFFKD68CC,30,11.70,共有部分,鋼筋混凝土造,80年3月15日,七層,,
RPOOMLLKJIPFFAD57CC,36,22.98,住家用,鋼筋混凝土造,73年12月28日,十四層,,
RPOOMLLKJIPFFAD57CC,36,7.75,共有部分,鋼筋混凝土造,73年12月28日,十四層,,
RPQOMLLKJIPFFKD78CC,25,33.76,住家用,鋼筋混凝土造,85年4月26日,十層,,
RPQOMLLKJIPFFKD78CC,25,8.61,共有部分,鋼筋混凝土造,85年4月26日,十層,,
RPQOMLLKJIPFFKD78CC,25,5.84,共有部分,鋼筋混凝土造,85年4月26日,十層,,
RPROMLLKJIPFFKD88CC,29,13.71,住家用,鋼筋混凝土造,80年10月22日,八層,,
RPROMLLKJIPFFKD88CC,29,8.36,共有部分,鋼筋混凝土造,80年10月22日,八層,,
RPXNMLMKJIPFFBD58CC,13,453.42,住宅，停車空間,鋼筋混凝土造,96年10月3日,四層,,
RPPNMLMKJIPFFKD68CC,41,72.16,住家用,鋼筋混凝土造,68年10月2日,四層,,
RPUOMLMKJIPFFCD48CC,9,87.03,停車空間、住宅、店舖,鋼筋混凝土造,100年9月16日,三層,,
RPVPMLMKJIPFFKD86CC,8,63.67,集合住宅,鋼筋混凝土構造,101年8月17日,十九層,,
RPSNMLNKJIPFFAD08CC,14,342.24,店舖、住宅,ＲＣ造,96年3月23日,四層,,
RPVPMLMKJIPFFKD86CC,8,31.75,防空避難室兼停車空間，機電設備，社區文康室，社區運動室，梯廳，機械室，水箱,鋼筋混凝土構造,101年8月17日,十九層,,
RPSNMLNKJIPFFAD08CC,14,106.58,共有部分,ＲＣ造,96年3月23日,四層,,
RPTOMLNKJIPFFCD48CC,26,42.44,住家用,鋼筋混凝土造,83年10月29日,七層,,
RPSNMLNKJIPFFAD08CC,14,51.48,共有部分,ＲＣ造,96年3月23日,四層,,
RPTOMLNKJIPFFCD48CC,26,10.45,共有部分,鋼筋混凝土造,83年10月29日,七層,,
RPTOMLNKJIPFFCD48CC,26,6.81,共有部分,鋼筋混凝土造,83年10月29日,七層,,
RPRNMLNKJIPFFID78CC,27,181.53,工商用,鐵骨造、ＲＣ造,82年5月22日,三層,,
RPPOMLNKJIPFFAD87CC,32,22.21,住家用,鋼筋混凝土造,78年4月10日,五層,,
RPRNMLOKJIPFFCD28CC,47,124.04,住商用,加強磚造,62年10月12日,二層,,
RPPOMLNKJIPFFAD87CC,32,4.56,共有部分,鋼筋混凝土造,78年4月10日,五層,,
RPPPMLNKJIPFFAD97CC,19,230.12,店舖、住宅,鋼筋混凝土造,90年12月3日,四層,,
RPVOMLQKJIPFFCD98CC,13,64.42,住家用,鋼筋混凝土造,96年9月6日,十四層,,
RPVOMLQKJIPFFCD98CC,13,13.44,共有部分,鋼筋混凝土造,96年9月6日,十四層,,
RPVOMLQKJIPFFCD98CC,13,13.44,共有部分,鋼筋混凝土造,96年9月6日,十四層,,
RPWOMLQKJIPFFCD09CC,31,16.32,住家用,鋼筋混凝土造,78年12月20日,五層,,
RPWOMLQKJIPFFCD09CC,31,7.46,共有部分,鋼筋混凝土造,78年12月20日,五層,,
RPTNMLQKJIPFFAD48CC,13,268.33,住宅、停車空間,鋼筋混凝土造,96年6月12日,四層,,
RPSNMLQKJIPFFAD38CC,63,109.20,住商用,磚造,47年1月1日,三層,,
RPXNMLQKJIPFFHD96CC,4,270.09,店舖、出租宿舍、停車空間,鋼筋混凝土造,105年9月9日,四層,,
RPXNMLQKJIPFFHD96CC,4,270.09,店舖、出租宿舍、停車空間,鋼筋混凝土造,105年9月9日,四層,,
RPOOMLQKJIPFFKD56DC,23,217.73,住商用,鋼筋混凝土造,87年4月21日,四層,,
RPSNMLRKJIPFFHD56CC,2,192.98,住家用,鋼筋混凝土造,108年1月4日,四層,,
RPPUMLRKJIPFFAD88CC,44,106.41,住商用,加強磚造,65年12月3日,二層,,
RPUNMLRKJIPFFAD68CC,23,111.35,住家用,鋼筋混凝土造,86年10月22日,二十四層,,
RPUNMLRKJIPFFAD68CC,23,30.39,共有部分,鋼筋混凝土造,86年10月22日,二十四層,,
RPUNMLRKJIPFFAD68CC,23,16.91,共有部分,鋼筋混凝土造,86年10月22日,二十四層,,
RPUNMLRKJIPFFAD68CC,23,.17,管理室,鋼筋混凝土造,86年10月22日,二十四層,,
RPQTMLSKJIPFFAD98CC,4,75.45,集合住宅,鋼筋混凝土構造,106年1月24日,二十三層,,
RPQTMLSKJIPFFAD98CC,4,67.30,本共有部分之項目：防空避難室、停車空間、機房、樓梯間、機械房、水箱、門廳、梯間、管委會使用空間、水池、防災中心等。,鋼筋混凝土構造,106年1月24日,二十六層,,
RPRTMLSKJIPFFAD09CC,4,58.14,集合住宅,鋼筋混凝土構造,105年11月9日,二十七層,,
RPRTMLSKJIPFFAD09CC,4,28.17,本共有部分之項目有：樓梯間、機房、水箱、特別安全梯、梯廳、排煙管道、排煙室、行動不便電梯、緊急升降機、管道間、進風管道、防空避難室、停車空間、管委會使用空間,鋼筋混凝土構造,105年11月9日,二十七層,,
RPTTMLSKJIPFFAD66CC,4,58.92,集合住宅,鋼筋混凝土構造,106年1月24日,二十三層,,
RPTTMLSKJIPFFAD66CC,4,28.41,本共有部分之項目：防空避難室、停車空間、機房、樓梯間、機械房、水箱、門廳、梯間、管委會使用空間、水池、防災中心等。,鋼筋混凝土構造,106年1月24日,二十六層,,
RPUOMLSKJIPFFID07CC,44,99.72,住家用,加強磚造,65年10月1日,二層,,
RPUTMLSKJIPFFAD76CC,24,87.85,住家用,鋼筋混凝土造,85年8月22日,十層,,
RPUTMLSKJIPFFAD76CC,24,52.49,共有部分,鋼筋混凝土造,85年8月22日,十層,,
RPVOMLSKJIPFFKD37CC,26,40.48,辦公室。,鋼筋混凝土造,84年3月31日,十五層,,
RPVOMLSKJIPFFKD37CC,26,8.86,共有部分,鋼筋混凝土造,84年3月31日,十五層,,
RPXOMLSKJIPFFKD57CC,27,25.56,住家用,鋼筋混凝土造,82年12月30日,九層,,
RPXOMLSKJIPFFKD57CC,27,13.24,共有部分,鋼筋混凝土造,82年12月30日,九層,,
RPWOMLSKJIPFFKD47CC,14,216.95,住家用,鋼筋混凝土造,96年2月15日,四層,,
RPTNMLTKJIPFFID96CC,1,96.54,集合住宅,鋼筋混凝土構造,108年12月12日,五層,,
RPTNMLTKJIPFFID96CC,1,43.77,本共有部分之項目有門廊、安全梯、停車空間、管理室、樓梯間、梯廳、昇降機間、電信室等８項,鋼筋混凝土構造,108年12月12日,五層,,
RPOOMLTKJIPFFID56CC,30,610.43,工業用,鋼筋混凝土加強磚造,80年5月6日,二層,,
RPOOMLTKJIPFFID56CC,30,606.80,防空避難室、宿舍、辦公室、停車場,鋼筋混凝土造,80年5月6日,四層,,
RPTOMLTKJIPFFGD86CC,30,291.97,住商用,鋼筋混凝土造,79年11月30日,三層,,
RPOPMLTKJIPFFGD09CC,26,33.91,住家用,鋼筋混凝土造,84年5月1日,六層,,
RPOPMLSKJIPFFKD76CC,26,178.40,住家用,鋼筋混凝土造,83年10月6日,十二層,,
RPOPMLTKJIPFFGD09CC,26,8.46,共有部分,鋼筋混凝土造,84年5月1日,六層,,
RPOPMLSKJIPFFKD76CC,26,27.46,共有部分,鋼筋混凝土造,83年10月20日,十二層,,
RPTNMLKLJIPFFAD97CC,30,54.97,住商用,鋼筋混凝土造,80年2月12日,五層,,
RPTNMLKLJIPFFAD97CC,30,19.19,共有部分,鋼筋混凝土造,80年2月12日,五層,,
RPPNMLKLJIPFFCD77CC,30,20.04,商業用,鋼筋混凝土造,79年9月26日,十二層,,
RPPNMLKLJIPFFCD77CC,30,10.57,共有部分,鋼筋混凝土造,79年9月26日,十二層,,
RPTOMLKLJIPFFCD28CC,21,58.25,住家用,鋼筋混凝土造,89年2月2日,八層,,
RPTOMLKLJIPFFCD28CC,21,14.57,共有部分,鋼筋混凝土造,89年2月2日,八層,,
RPQNMLMLJIPFFAD87CC,53,183.10,住家用,加強磚造,56年6月22日,五層,,
RPOSMLNLJIPFFAD28CC,28,81.11,住商用,鋼筋混凝土造,82年1月7日,六層,,
RPOSMLNLJIPFFAD28CC,28,7.97,共有部分,鋼筋混凝土造,82年1月7日,六層,,
RPOSMLNLJIPFFAD28CC,28,8.29,共有部分,鋼筋混凝土造,82年1月7日,六層,,
RPXQMLNLJIPFFAD98CC,41,18.51,商業用,鋼筋混凝土造,68年12月14日,三層,,
RPWNMLNLJIPFFBD68CC,8,226.15,住家用,鋼筋混凝土造,101年11月5日,四層,,
RPWNMLNLJIPFFBD68CC,8,.39,本共有部份之項目有垃圾處理空間，管理維護空間等二項,鋼筋混凝土造,101年11月5日,一層,,
RPOOMLNLJIPFFCD08CC,14,8.80,共有部分,ＲＣ造,95年11月22日,十三層,,
RPOOMLNLJIPFFCD08CC,14,62.30,住家用,ＲＣ造,95年11月22日,十三層,,
RPOOMLNLJIPFFCD08CC,14,33.89,共有部分,ＲＣ造,95年11月22日,十三層,,
RPOQMLNLJIPFFHD78CC,2,56.22,集合住宅,鋼筋混凝土造,107年6月28日,七層,,
RPXNMLNLJIPFFBD78CC,8,26.45,集合住宅，停車空間,鋼筋混凝土造,101年12月4日,四層,,
RPRNMLOLJIPFFID98CC,25,55.33,住商用,鋼筋混凝土造,84年8月29日,九層,,
RPRNMLOLJIPFFID98CC,25,28.44,共有部分,鋼筋混凝土造,84年8月29日,九層,,
RPVOMLOLJIPFFID86CC,34,311.10,住工用,鋼筋混凝土加強磚造,75年5月30日,二層,,
RPQNMLOLJIPFFCD28CC,25,55.88,住家用,鋼筋混凝土造,84年11月15日,二十三層,,
RPQNMLOLJIPFFCD28CC,25,4.89,共有部分,鋼筋混凝土造,84年11月15日,二十三層,,
RPQNMLOLJIPFFCD28CC,25,15.31,共有部分,鋼筋混凝土造,84年11月15日,二十三層,,
RPQNMLOLJIPFFCD28CC,25,2.32,共有部分,鋼筋混凝土造,84年11月15日,二十三層,,
RPRNMLOLJIPFFCD38CC,16,44.92,店舖、住宅、停車空間,ＲＣ造,93年8月11日,四層,,
RPVPMLNLJIPFFKD17DC,24,86.72,住家用,鋼筋混凝土造,85年5月22日,十六層,,
RPVPMLNLJIPFFKD17DC,24,36.50,共有部分,鋼筋混凝土造,85年5月22日,十六層,,
RPVNMLOLJIPFFCD78CC,39,85.86,住家用,鋼筋混凝土造,70年9月4日,五層,,
RPVOMLOLJIPFFCD88CC,21,91.94,集合住宅,鋼筋混凝土造,88年11月16日,十二層,,
RPVNMLOLJIPFFCD78CC,39,1.16,共有部分,鋼筋混凝土造,70年9月4日,五層,,
RPVOMLOLJIPFFCD88CC,21,.21,集合住宅,鋼筋混凝土造,88年11月16日,十二層,,
RPVOMLOLJIPFFCD88CC,21,21.57,共有部分,鋼筋混凝土造,88年11月16日,十二層,,
RPVOMLOLJIPFFCD88CC,21,15.88,共有部分,鋼筋混凝土造,88年11月16日,十二層,,
RPPOMLOLJIPFFCD28CC,40,125.28,住家用,鋼筋混凝土造,69年12月4日,三層,,
RPWOMLOLJIPFFCD98CC,38,87.02,集合住宅,鋼筋混凝土造,71年12月10日,五層,,
RPWOMLOLJIPFFCD98CC,38,6.23,共有部分,鋼筋混凝土造,71年12月10日,五層,,
RPTOMLOLJIPFFCD68CC,27,87.48,住商用,鋼筋混凝土造,83年4月1日,十四層,,
RPTOMLOLJIPFFCD68CC,27,16.42,共有部分,鋼筋混凝土造,83年4月1日,十四層,,
RPXNMLOLJIPFFAD78CC,39,42.07,住家用,鋼筋混凝土造,70年7月20日,五層,,
RPXNMLOLJIPFFAD78CC,39,9.29,共有部分,鋼筋混凝土造,70年7月20日,五層,,
RPROMLOLJIPFFAD28CC,13,26.61,集合住宅,鋼筋混凝土構造,96年8月24日,十四層,,
RPROMLOLJIPFFAD28CC,13,3.59,共有部分,鋼筋混凝土構造,96年8月24日,十四層,,
RPROMLOLJIPFFAD28CC,13,6.87,共有部分,鋼筋混凝土構造,96年8月24日,十四層,,
RPPUMLOLJIPFFKD07CC,22,24.13,一般事務所。,鋼筋混凝土造,87年10月26日,十一層,,
RPVOMLOLJIPFFAD68CC,30,304.80,住商用,鋼筋混凝土造,80年4月2日,四層,,
RPTOMLOLJIPFFAD48CC,25,34.95,住家用,鋼筋混凝土造,84年10月24日,十三層,,
RPTOMLOLJIPFFAD48CC,25,9.36,共有部分,鋼筋混凝土造,84年10月24日,十三層,,
RPXQMLNLJIPFFKD37CC,10,19.84,住宅，停車空間,鋼筋混凝土造,99年12月30日,四層,,
RPWOMLOLJIPFFAD78CC,27,100.53,住家用,鋼筋混凝土造,82年6月12日,十二層,,
RPWOMLOLJIPFFAD78CC,27,23.17,共有部分,鋼筋混凝土造,82年6月12日,十二層,,
RPUOMLOLJIPFFKD96CC,21,16.92,住家用,鋼筋混凝土造,88年8月24日,十四層,,
RPUOMLOLJIPFFKD96CC,21,.39,共有部分,鋼筋混凝土造,88年8月24日,十四層,,
RPUOMLOLJIPFFKD96CC,21,.70,共有部分,鋼筋混凝土造,88年8月24日,十四層,,
RPUOMLOLJIPFFKD96CC,21,4.23,共有部分,鋼筋混凝土造,88年8月24日,十四層,,
RPVOMLOLJIPFFKD07CC,13,109.87,住家用,鋼筋混凝土造,96年9月20日,十四層,,
RPVOMLOLJIPFFKD07CC,13,67.84,共有部分,鋼筋混凝土造,96年9月20日,十四層,,
RPWNMLPLJIPFFAD78CC,13,49.93,集合住宅,鋼筋混凝土構造,96年8月24日,十四層,,
RPWNMLPLJIPFFAD78CC,13,6.74,共有部分,鋼筋混凝土構造,96年8月24日,十四層,,
RPWNMLPLJIPFFAD78CC,13,10.58,共有部分,鋼筋混凝土構造,96年8月24日,十四層,,
RPOQMLOLJIPFFAD18CC,35,94.33,住家用,鋼筋混凝土造,75年1月11日,二層,,
RPOOMLPLJIPFFAD08CC,13,94.87,店舖、辦公室,鋼筋混凝土構造,96年8月24日,十四層,,
RPOOMLPLJIPFFAD08CC,13,22.52,共有部分,鋼筋混凝土構造,96年8月24日,十四層,,
RPOOMLPLJIPFFAD08CC,13,15.66,共有部分,鋼筋混凝土構造,96年8月24日,十四層,,
RPWOMLPLJIPFFAD88CC,25,36.38,住商用,鋼筋混凝土造,84年6月15日,五層,,
RPPOMLPLJIPFFAD18CC,13,70.95,店舖、辦公室,鋼筋混凝土構造,96年8月24日,十四層,,
RPOOMLPLJIPFFCD28CC,13,28.99,住家用,鋼筋混凝土造,97年2月29日,十四層,,
RPPOMLPLJIPFFAD18CC,13,22.52,共有部分,鋼筋混凝土構造,96年8月24日,十四層,,
RPOOMLPLJIPFFCD28CC,13,32.95,共有部分,鋼筋混凝土造,97年2月29日,十四層,,
RPOOMLPLJIPFFCD28CC,13,8.57,共有部分,鋼筋混凝土造,97年2月29日,十四層,,
RPPOMLPLJIPFFAD18CC,13,15.66,共有部分,鋼筋混凝土構造,96年8月24日,十四層,,
RPQPMLPLJIPFFAD48DC,55,77.03,住家用,加強磚造,55年1月1日,二層,,
RPOPMLPLJIPFFAD28DC,34,143.01,住家用,鋼筋混凝土造,75年8月8日,五層,,
RPOPMLPLJIPFFAD28DC,34,6.49,共有部分,鋼筋混凝土造,75年8月8日,五層,,
RPVOMLPLJIPFFCD09DC,37,82.28,住家用,鋼筋混凝土造,73年1月10日,五層,,
RPVOMLPLJIPFFCD09DC,37,8.77,共有部分,鋼筋混凝土造,73年1月11日,五層,,
RPROMLPLJIPFFHD09CC,44,111.13,住商用,加強磚造,65年7月1日,二層,,
RPVOMLPLJIPFFCD09DC,37,8.99,共有部分,鋼筋混凝土造,73年1月11日,五層,,
RPRPMLPLJIPFFAD58DC,42,86.23,住家用,加強磚造,67年12月7日,二層,,
RPVNMLPLJIPFFKD07CC,35,402.77,避難室、辦公室、員工宿舍。,鋼筋混凝土造,75年4月16日,二層,,
RPVNMLPLJIPFFKD07CC,35,1361.74,工商用,鋼造,75年4月16日,一層,,
RPPPMLQLJIPFFKD76CC,28,62.45,住家用,鋼筋混凝土造,82年3月10日,十層,,
RPPPMLQLJIPFFKD76CC,28,17.70,共有部分,鋼筋混凝土造,82年3月10日,十一層,,
RPPPMLQLJIPFFKD76CC,28,13.30,共有部分,鋼筋混凝土造,82年3月10日,十一層,,
RPXNMLQLJIPFFHD07CC,37,113.44,住家用,鋼筋混凝土造,73年1月11日,二層,,
RPPNMLQLJIPFFCD38CC,27,103.72,住家用,鋼筋混凝土造,83年5月19日,八層,,
RPUNMLQLJIPFFAD68CC,31,42.03,住家用,鋼筋混凝土造,78年10月2日,十二層,,
RPPNMLQLJIPFFCD38CC,27,54.32,共有部分,鋼筋混凝土造,83年5月19日,八層,,
RPUNMLQLJIPFFAD68CC,31,10.32,共有部分,鋼筋混凝土造,78年10月2日,十二層,,
RPUNMLQLJIPFFAD68CC,31,21.29,共有部分,鋼筋混凝土造,78年10月2日,十二層,,
RPRNMLQLJIPFFCD58CC,48,99.22,住家用,加強磚造,61年12月11日,二層,,
RPWNMLQLJIPFFAD88CC,44,99.93,住商用,加強磚造,66年5月5日,二層,,
RPRNMLRLJIPFFCD68CC,36,52.89,住家用,鋼筋混凝土造,74年4月27日,七層,,
RPXNMLQLJIPFFAD98CC,45,218.04,住商用,鋼筋混凝土造,64年10月7日,三層,,
RPUOMLRLJIPFFKD27CC,6,23.15,停車空間，住宅,鋼筋混凝土構造,103年7月15日,四層,,
RPQOMLQLJIPFFAD38CC,4,93.96,集合住宅,鋼筋混凝土構造,106年1月19日,十四層,,
RPQOMLQLJIPFFAD38CC,4,68.21,本共有部分之項目有：防空避難室兼停車空間、停車空間、車道、外廊、管委會使用空間、梯廳、排煙室、樓梯間、垃圾暫存空間、機械室、水箱、門廊、昇降梯間、陽台等。,鋼筋混凝土構造,106年1月19日,十四層,,
RPOOMLRLJIPFFBD38CC,40,109.90,住商用,加強磚造,69年9月8日,二層,,
RPSNMLRLJIPFFAD68DC,36,35.85,住家用,鋼筋混凝土造,73年12月28日,十四層,,
RPSNMLRLJIPFFAD68DC,36,12.04,共有部分,鋼筋混凝土造,73年12月28日,十四層,,
RPTNMLRLJIPFFAD78DC,36,22.98,住家用,鋼筋混凝土造,73年12月28日,十四層,,
RPTNMLRLJIPFFAD78DC,36,7.75,共有部分,鋼筋混凝土造,73年12月28日,十四層,,
RPQNMLSLJIPFFAD48CC,13,21.16,集合住宅,鋼筋混凝土構造,96年8月24日,十四層,,
RPQNMLSLJIPFFAD48CC,13,2.88,共有部分,鋼筋混凝土構造,96年8月24日,十四層,,
RPQNMLSLJIPFFAD48CC,13,5.50,共有部分,鋼筋混凝土構造,96年8月24日,十四層,,
RPVNMLKMJIPFFAD28CC,1,65.79,集合住宅,鋼筋混凝土構造,109年1月31日,二十四層,,
RPVNMLKMJIPFFAD28CC,1,10.02,本共有部分之項目有防空避難室兼停車空間、公共服務空間、門廳、管理委員會使用空間、梯廳、停車空間、排風機房、進風管道、消防水箱機房、電信室、車道。,鋼筋混凝土構造,109年1月31日,二十四層,,
RPVNMLKMJIPFFAD28CC,1,19.91,本共有部分之項目有樓梯間、水箱機房、電梯機房、中繼機房、管道間。,鋼筋混凝土構造,109年1月31日,二十四層,,
RPUOMLKMJIPFFAD28CC,26,111.60,住家用,鋼筋混凝土造,84年1月4日,二十五層,,
RPUOMLKMJIPFFAD28CC,26,19.07,共有部分,鋼筋混凝土造,84年1月4日,二十四層,,
RPUOMLKMJIPFFAD28CC,26,15.09,共有部分,鋼筋混凝土造,84年1月4日,二十四層,,
RPTOMLKMJIPFFCD38CC,43,63.00,住家用,鋼筋混凝土造,67年5月9日,四層,,
RPPNMLKMJIPFFID58DC,13,102.49,住商用,鋼筋混凝土造,97年4月8日,四層,,
RPVNMLKMJIPFFBD38CC,8,89.24,住宅，停車空間,鋼筋混凝土造,101年7月27日,四層,,
RPPOMLKMJIPFFKD78CC,25,62.92,住家用,鋼筋混凝土造,84年6月22日,十一層,,
RPPOMLKMJIPFFKD78CC,25,42.73,共有部分,鋼筋混凝土造,84年6月22日,十一層,,
RPSNMLKMJIPFFID78CC,41,55.62,住家用,鋼筋混凝土造,69年4月10日,三層,,
RPOSMLLJKIPFFKD98CC,13,263.52,住家用,鋼筋混凝土造,97年1月9日,四層,,
RPPOMLLJKIPFFCD87CC,13,28.99,住家用,鋼筋混凝土造,97年2月29日,十四層,,
RPPOMLLJKIPFFCD87CC,13,32.95,共有部分,鋼筋混凝土造,97年2月29日,十四層,,
RPPOMLLJKIPFFCD87CC,13,8.57,共有部分,鋼筋混凝土造,97年2月29日,十四層,,
RPVOMLKMJIPFFAD38CC,4,75.45,集合住宅,鋼筋混凝土構造,106年1月24日,二十三層,,
RPVOMLKMJIPFFAD38CC,4,67.30,本共有部分之項目：防空避難室、停車空間、機房、樓梯間、機械房、水箱、門廳、梯間、管委會使用空間、水池、防災中心等。,鋼筋混凝土構造,106年1月24日,二十六層,,
RPWNMLLJKIPFFAD28CC,37,66.47,住家用,鋼筋混凝土造,72年8月18日,八層,,
RPWNMLLJKIPFFAD28CC,37,48.20,共有部分,鋼筋混凝土造,72年8月18日,八層,,
RPROMLLJKIPFFAD87CC,31,42.03,住家用,鋼筋混凝土造,78年10月2日,十二層,,
RPROMLLJKIPFFAD87CC,31,10.32,共有部分,鋼筋混凝土造,78年10月2日,十二層,,
RPXOMLLJKIPFFAD48CC,25,91.46,住家用,鋼筋混凝土造,84年7月29日,十七層,,
RPROMLLJKIPFFAD87CC,31,21.29,共有部分,鋼筋混凝土造,78年10月2日,十二層,,
RPXOMLLJKIPFFAD48CC,25,24.89,共有部分,鋼筋混凝土造,84年7月29日,十七層,,
RPWOMLLJKIPFFAD38CC,25,54.75,住家用,鋼筋混凝土造,84年7月29日,十七層,,
RPWOMLLJKIPFFAD38CC,25,14.48,共有部分,鋼筋混凝土造,84年7月29日,十七層,,
RPWOMLLJKIPFFAD38CC,25,34.39,管理員室,鋼筋混凝土造,84年7月29日,十七層,,
RPPPMLLJKIPFFAD77CC,6,358.46,店舖、住宅,鋼筋混凝土構造,103年11月21日,四層,,
RPQOMLMJKIPFFAD87CC,4,58.34,集合住宅,鋼筋混凝土構造,106年1月24日,二十層,,
RPQOMLMJKIPFFAD87CC,4,54.58,本共有部分之項目：防空避難室、停車空間、機房、樓梯間、機械房、水箱、門廳、梯間、管委會使用空間、水池、防災中心等。,鋼筋混凝土構造,106年1月24日,二十六層,,
RPSNMLMJKIPFFAD97CC,43,37.66,住家用,鋼筋混凝土造,66年12月2日,七層,,
RPSNMLMJKIPFFAD97CC,43,6.14,共有部分,鋼筋混凝土造,66年12月2日,七層,,
RPROMLMJKIPFFAD97CC,28,112.73,商業用,鋼筋混凝土造,81年9月9日,十二層,,
RPROMLMJKIPFFAD97CC,28,49.76,共有部分,鋼筋混凝土造,81年9月9日,十二層,,
RPTOMLMJKIPFFAD18CC,50,101.47,住家用,加強磚造,60年3月16日,二層,,
RPUOMLMJKIPFFAD28CC,13,53.43,集合住宅,鋼筋混凝土構造,96年8月24日,十四層,,
RPUOMLMJKIPFFAD28CC,13,15.50,共有部分,鋼筋混凝土構造,96年8月24日,十四層,,
RPUOMLMJKIPFFAD28CC,13,11.30,共有部分,鋼筋混凝土構造,96年8月24日,十四層,,
RPVOMLMJKIPFFAD38CC,6,190.01,住家用,鋼筋混凝土構造,103年7月24日,二層,,
RPOPMLMJKIPFFAD77CC,30,364.99,住家用,鋼筋混凝土造,79年7月18日,五層,,
RPOPMLMJKIPFFAD77CC,30,30.49,共有部分,鋼筋混凝土造,79年7月18日,一層,,
RPPPMLMJKIPFFAD87CC,36,26.00,住家用,鋼筋混凝土造,73年6月29日,五層,,
RPSOMLMJKIPFFAD08CC,34,40.00,住商用,鋼筋混凝土造,76年3月28日,四層,,
RPROMLMJKIPFFCD18CC,13,130.87,停車空間、店舖、住宅,鋼筋混凝土造,96年6月26日,五層,,
RPSOMLMJKIPFFCD28CC,38,87.84,集合住宅,鋼筋混凝土造,71年11月29日,五層,,
RPSOMLMJKIPFFCD28CC,38,6.23,共有部分,鋼筋混凝土造,71年11月29日,五層,,
RPWNMLMJKIPFFKD76CC,38,68.26,住商用,鋼筋混凝土造,72年1月22日,五層,,
RPWNMLMJKIPFFKD76CC,38,7.07,共有部分,鋼筋混凝土造,72年1月22日,五層,,
RPWNMLMJKIPFFKD76CC,38,10.44,共有部分,鋼筋混凝土造,72年1月22日,五層,,
RPSOMLMJKIPFFKD09CC,3,79.51,住家用,鋼筋混凝土構造,107年1月9日,五層,,
RPSOMLMJKIPFFKD09CC,3,45.13,本共有部分之項目有停車空間、管委使用空間、安全梯、管道間、梯廳、電梯、樓梯間等７項,鋼筋混凝土構造,107年1月9日,五層,,
RPQOMLMJKIPFFKD88CC,27,85.42,住家用,鋼筋混凝土造,82年8月3日,五層,,
RPUOMLMJKIPFFID09CC,41,117.17,住家用,鋼筋混凝土造,69年4月10日,三層,,
RPQOMLMJKIPFFKD88CC,27,27.54,共有部分,鋼筋混凝土造,82年8月3日,五層,,
RPUNMLMJKIPFFGD88DC,2,178.27,店舖、住宅,鋼筋混凝土造,107年11月16日,四層,,
RPUNMLNJKIPFFKD66CC,26,59.54,辦公室。,鋼筋混凝土造,84年3月31日,十五層,,
RPUNMLNJKIPFFKD66CC,26,11.52,共有部分,鋼筋混凝土造,84年3月31日,十五層,,
RPUOMLOJKIPFFKD86CC,40,101.15,住商用,加強磚造,70年2月24日,二層,,
RPQPMLMJKIPFFBD08CC,4,108.81,集合住宅,鋼筋混凝土造,105年5月23日,五層,,
RPVPMLNJKIPFFID76CC,1,189.26,店鋪、住宅,鋼筋混凝土構造,108年10月24日,四層,,
RPQPMLMJKIPFFBD08CC,4,17.18,本共有部分之項目有樓梯間，蓄水池等二項。,鋼筋混凝土造,105年5月23日,五層,,
RPOPMLOJKIPFFKD98CC,19,176.90,住家用,鋼筋混凝土造,90年7月13日,四層,,
RPQPMLMJKIPFFBD08CC,4,24.13,本共有部分之項目有管理維護空間，停車空間等二項。,鋼筋混凝土造,105年5月23日,五層,,
RPPNMLOJKIPFFHD58CC,38,126.44,住家用,加強磚造,72年4月6日,二層,,
RPPNMLOJKIPFFHD58CC,38,7.88,住家用,加強磚造,72年4月6日,二層,,
RPQNMLPJKIPFFHD78CC,35,94.70,住家用,加強磚造,74年10月30日,二層,,
RPQPMLOJKIPFFAD18CC,22,87.36,集合住宅,鋼筋混凝土造,88年2月11日,二十四層,,
RPQPMLOJKIPFFAD18CC,22,11.23,共有部分,鋼筋混凝土造,88年2月11日,二十四層,,
RPQPMLOJKIPFFAD18CC,22,19.39,共有部分,鋼筋混凝土造,88年2月11日,二十四層,,
RPQPMLOJKIPFFAD18CC,22,4.27,共有部分,鋼筋混凝土造,88年2月11日,二十四層,,
