編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQOMLOLJIGGFAV56CC,中心段,22.00,都市：住,,,,03440006
RPPNMLNJKIGGFAV78CC,興安段,29.75,都市：住,,,,03300000
RPQOMLOLJIGGFAV56CC,中心段,152.00,都市：住,,,,03450000
RPSOMLQLJIGGFAV96CC,台東段,86.00,都市：商,,,,04610018
RPRNMLNJKIGGFAV98CC,中心段,152.00,都市：住,,,,03450000
RPRNMLNJKIGGFAV98CC,中心段,22.00,都市：住,,,,03440006
RPSNMLLLKIGGFAV09CC,台東段,90.00,都市：住,,,,01600022
RPSNMLNJKIGGFAV09CC,中心段,152.00,都市：住,,,,03450000
RPSNMLNJKIGGFAV09CC,中心段,22.00,都市：住,,,,03440006
RPTNMLKKJHHGFAV88CC,新田段,442.21,非都市：特定農業區 ; 非都市編定：農牧用地,,,,00870000
RPQNMLMKJHHGFAV78CC,豐年段,79.33,都市：住,,,,00290059
RPRNMLMKJHHGFAV88CC,豐年段,158.66,都市：住,,,,00290057
RPUNMLSJKHHGFAV17CC,台東段,57.91,都市：住,,,,25450000
RPTNMLSKJHHGFAV07CC,台東段,66.00,都市：商,,,,03600004
