編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUNMLLKNHGGFAI08CC,遠東段,20.04,都市：住,,,,00680000
RPROMLLKNHGGFAI87CC,中山段三小段,60.00,都市：住,,,,00380050
RPTNMLMKNHGGFAI08CC,白川段,32.98,都市：住,,,,00140001
RPVOMLNKNHGGFAI48CC,中庄段,.00,都市：住,,,,10690000
RPWOMLNKNHGGFAI58CC,劉厝段劉厝小段,.00,都市：住,,,,03240012
RPWNMLOKNHGGFAI58CC,車店段車店小段,.00,都市：住,,,,07290000
RPPPMLNKNHGGFAI97CC,短竹段,.00,都市：住,,,,09120070
RPUNMLOKNHGGFAI38CC,短竹段,.00,都市：住,,,,09120071
RPQOMLOKNHGGFAI08CC,下路頭段,.00,都市：住,,,,04210162
RPXNMLOKNHGGFAI68CC,車店段車店小段,.00,都市：住,,,,06590001
RPROMLOKNHGGFAI18CC,劉厝段劉厝小段,.00,都市：商,,,,03120001
RPWOMLOKNHGGFAI68CC,北社尾段保安小段,.00,都市：住,,,,06120000
RPTOMLOKNHGGFAI38CC,元段二小段,.00,都市：商,,,,00850001
RPTNMLRKNHGGFAI68DC,中山段四小段,48.00,都市：住,,,,00190024
RPTNMLRKNHGGFAI68DC,中山段四小段,76.00,都市：住,,,,00190022
RPTNMLRKNHGGFAI68DC,中山段四小段,18.00,都市：住,,,,00170012
RPTNMLRKNHGGFAI68DC,中山段四小段,1.00,都市：住,,,,00170017
RPTNMLTKNHGGFAI78CC,新太平段,14.59,都市：住,,,,05410000
RPTNMLPLNHGGFAI48CC,新太平段,15.40,都市：住,,,,05410000
RPRNMLSLNHGGFAI58CC,西門段六小段,10.51,都市：商,,,,00340000
RPQOMLLLNHGGFAI87CC,車店段,56.84,,,,,04380006
RPQNMLSLNHGGFAI48CC,竹圍子段,198.34,都市：住,,,,03770007
RPWNMLSJOHGGFAI56EC,中山段四小段,49.00,都市：住,,,,00030003
RPWNMLSJOHGGFAI56EC,中山段四小段,10.00,都市：住,,,,00030004
