編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSOMLLKQHHGFAD87CC,保西段,4.78,都市：商,,,,02570000
RPSOMLLKQHHGFAD87CC,保西段,155.17,都市：商,,,,02580000
RPROMLLKQHHGFCD97CC,竹篙厝段,100.00,都市：住,,,,31180005
RPWOMLLKQHHGFCD48CC,新東段,.00,都市：住,,,,06450002
RPWOMLLKQHHGFCD48CC,新東段,.00,都市：其他:細部計畫道路用地,,,,06450004
RPTOMLLKQHHGFAD97CC,北安段,.00,都市：住,,,,00560108
RPUOMLLKQHHGFCD28CC,大恩段,.00,都市：住,,,,00570000
RPUOMLLKQHHGFCD28CC,大恩段,.00,都市：其他:細部計畫道路用地,,,,00570001
RPSPMLLKQHHGFCD18CC,德高段,.00,都市：住,,,,03580000
RPQPMLLKQHHGFKD78CC,鹽東段,.00,都市：住,,,,16130000
RPSNMLLKQHHGFKD78CC,頂溪段,.00,都市：工,,,,07240000
RPSNMLLKQHHGFKD78CC,頂溪段,.00,都市：工,,,,07250000
RPSNMLLKQHHGFKD78CC,頂溪段,.00,都市：工,,,,07260000
RPSNMLLKQHHGFKD78CC,頂溪段,.00,都市：工,,,,07270000
RPSNMLLKQHHGFKD78CC,頂溪段,.00,都市：工,,,,07550003
RPUNMLLKQHHGFBD08CC,和館段,.00,都市：住,,,,00940155
RPRQMLLKQHHGFKD98CC,仁愛段,.00,都市：住,,,,05210000
RPRQMLLKQHHGFKD98CC,仁愛段,.00,都市：住,,,,05240000
RPRQMLLKQHHGFKD98CC,仁愛段,.00,都市：住,,,,05260000
RPRQMLLKQHHGFKD98CC,仁愛段,.00,都市：住,,,,05270000
RPSNMLMKQHHGFHD58CC,大營段,306.00,非都市：一般農業區 ; 非都市編定：丁種建築用地,,,,26620020
RPSNMLMKQHHGFGD48CC,仁得段,.00,都市：住,,,,11250000
RPTPMLLKQHHGFID88CC,健康段,.00,都市：住,,,,00070065
RPXPMLLKQHHGFKD86CC,永仁段,.00,都市：住,,,,00420000
RPTNMLMKQHHGFKD98CC,六合段,.00,都市：住,,,,09770004
RPVNMLMKQHHGFKD56CC,禹帝段,.00,都市：住,,,,02290000
RPWNMLMKQHHGFKD66CC,永和段,.00,都市：住,,,,03800012
RPQOMLMKQHHGFKD78CC,頂南段,122.93,都市：住,,,,05660000
RPPOMLMKQHHGFKD68CC,兵北段,.00,都市：住,,,,07880000
RPXNMLMKQHHGFKD76CC,永和段,.00,都市：住,,,,03800012
RPXOMLMKQHHGFKD86CC,南灣段,.00,都市：住,,,,04360000
RPOOMLMKQHHGFKD58CC,永和段,.00,都市：住,,,,03800012
RPVOMLMKQHHGFKD66CC,南工段,.00,都市：商,,,,05010000
RPPPMLMKQHHGFKD78CC,兵南段,.00,都市：住,,,,05830000
RPOPMLMKQHHGFKD68CC,南灣段,.00,都市：住,,,,04360000
RPQPMLMKQHHGFKD88CC,大灣段,.00,都市：住,,,,41540013
RPSNMLMKQHHGFCD08CC,鹽埕段,.00,都市：住,,,,19560003
RPXNMLMKQHHGFAD38CC,自強段,.00,都市：商,,,,05000002
RPWOMLLKQHHGFAD28CC,中正段,.00,都市：商,,,,11170000
RPWOMLLKQHHGFAD28CC,中正段,.00,都市：商,,,,11040000
RPQNMLOKQHHGFAD87CC,星鑽段,.00,都市：商,,,,18530000
RPSNMLMKQHHGFAD87CC,金華段,.00,都市：商,,,,00720000
RPUOMLLKQHHGFAD08CC,東興段,.00,都市：住,,,,09710000
RPTNMLOKQHHGFAD18CC,立人段,8.33,都市：住,,,,00650003
RPQNMLNKQHHGFAD77CC,北元段,112.74,都市：住,,,,07120001
RPRNMLOKQHHGFAD97CC,立人段,3.62,都市：住,,,,00650003
RPXOMLMKQHHGFAD48CC,富台段,.00,都市：住,,,,02440000
RPVNMLMKQHHGFAD18CC,環河段,.00,都市：商,,,,24960000
RPRNMLOKQHHGFCD18CC,虎尾段,.00,都市：住,,,,19280000
RPRNMLOKQHHGFCD18CC,虎尾段,.00,都市：住,,,,19290000
RPSNMLOKQHHGFCD28CC,裕南段,.00,都市：住,,,,14090000
RPQNMLOKQHHGFCD08CC,竹篙厝段,.00,都市：住,,,,29910023
RPPNMLOKQHHGFKD78CC,六甲頂段,.00,都市：住,,,,10910000
RPSPMLPKQHHGFBD48CC,和館段,.00,都市：住,,,,00240004
RPSPMLPKQHHGFBD48CC,和館段,.00,都市：住,,,,00240005
RPSPMLPKQHHGFBD48CC,和館段,.00,都市：住,,,,00240466
RPSPMLPKQHHGFBD48CC,和館段,.00,都市：住,,,,00240481
RPQNMLOKQHHGFKD88CC,永仁段,.00,都市：住,,,,11130000
RPPNMLOKQHHGFBD87CC,海東段,.00,都市：住,,,,02450000
