鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
泰山區,房地(土地+建物)+車位,新北市泰山區莊泰路,11.65,住,,,1110811,土地1建物1車位1,二層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,93.09,2,2,1,有,無,12080000,160781,坡道平面,31.64,2200000,總價含家電,RPRNMLLKQHHGFBF87CB,文華?,A05-02F號
淡水區,房地(土地+建物)+車位,新北市淡水區濱海路二段202巷65弄,16.76,住,,,1110812,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.38,3,2,2,有,無,11370000,81346,坡道平面,30.89,1650000,,RPPNMLNKQHHGFEF18CB,新潤心苑,A1-7F號
淡水區,房地(土地+建物)+車位,新北市淡水區八勢一街,20.2,住,,,1110813,土地2建物1車位1,十層,23,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,136.1,3,2,1,有,無,14120000,121138,坡道平面,30.27,1300000,,RPQNMLNKQHHGFEF28CB,岳泰峰碩,A棟10-10號
林口區,房地(土地+建物)+車位,新北市林口區文化二路二段,8.88,商,,,1110814,土地2建物1車位1,六層,24,辦公商業大樓,商業用,鋼筋混凝土造,,138.93,0,0,0,無,無,15240000,114409,坡道平面,25.39,2250000,,RPQOMLPKQHHGFBF28CB,新潤Double,A棟3-6F號
林口區,房地(土地+建物)+車位,新北市林口區文化二路二段,8.88,商,,,1110814,土地2建物1車位1,十二層,24,辦公商業大樓,商業用,鋼筋混凝土造,,138.93,0,0,0,無,無,15490000,116611,坡道平面,25.39,2250000,,RPROMLPKQHHGFBF38CB,新潤Double,A棟3-12F號
林口區,房地(土地+建物)+車位,新北市林口區文化二路二段,9.55,商,,,1110814,土地2建物1車位1,十七層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,148.26,4,2,2,有,無,19450000,138310,坡道平面,23.54,2200000,,RPSOMLPKQHHGFBF48CB,新潤Double,B棟3-17F號
新莊區,房地(土地+建物)+車位,新北市新莊區新知三路,29.23,商,,,1110813,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,217.94,1,1,0,有,無,25400000,117819,坡道平面,23.15,2450000,,RPRPMLPKQHHGFBF48CB,莫內花園,B棟B1-4F號
中和區,房地(土地+建物)+車位,新北市中和區中原街26號旁,56.19,住,,,1110814,土地1建物1車位3,十六層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,314.18,3,2,3,有,無,56080000,216513,坡道平面,90.96,7750000,,RPPNMLPKQHHGFHF68CB,華固得月,A1-16F號
中和區,房地(土地+建物)+車位,新北市中和區中原街26號旁,52.58,住,,,1110811,土地1建物1車位2,十六層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,269.54,3,2,3,有,無,50600000,219244,坡道平面,60.64,4800000,,RPQNMLPKQHHGFHF78CB,華固得月,A2-16F號
