編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSNMLLKQHHGFBB67CC,平田段,.00,都市：住,,,,05140000
RPUPMLLKQHHGFBB08CC,東峰段,9.18,都市：住,,,,00040000
RPPPMLLKQHHGFBB57CC,東義段,.00,都市：住,,,,03190000
RPPPMLLKQHHGFBB57CC,東義段,.00,都市：住,,,,03320000
RPPQMLLKQHHGFBB67CC,仁德段,.00,都市：住,,,,10340000
RPXQMLLKQHHGFBB48CC,文北段,.00,都市：住,,,,00260000
RPXPMLLKQHHGFBB38CC,東光段,17.75,都市：住,,,,00730000
RPVNMLLKQHHGFBB97CC,北屯段,13.19,都市：住,,,,00260000
RPRPMLLKQHHGFBB77CC,東義段,.00,都市：住,,,,03190000
RPRPMLLKQHHGFBB77CC,東義段,.00,都市：住,,,,03320000
RPQNMLLKQHHGFBB47CC,碧柳段,8.46,都市：住,,,,01590000
RPRPMLLKQHHGFAB67CC,公館段,.00,都市：商,,,,00630001
RPPPMLLKQHHGFAB47CC,中華段三小段,1.65,都市：住,,,,00020021
RPWPMLLKQHHGFAB18CC,中華段四小段,2.39,都市：商,,,,00030027
RPSPMLLKQHHGFAB77CC,綠川段一小段,3.90,都市：住,,,,00090000
RPRNMLLKQHHGFAB47CC,麻園頭段,21.49,都市：住,,,,01730023
RPTNMLLKQHHGFAB67CC,大益段,166.69,都市：商,,,,01350000
RPSNMLLKQHHGFCB77CC,上石碑段,5.26,都市：住,,,,15350000
RPWNMLLKQHHGFCB18CC,惠民段,13.47,都市：其他:新市政中心專用區,,,,00110000
RPSRMLLKQHHGFBB08CC,錦村段,6.99,都市：住,,,,03220000
RPPQMLLKQHHGFAB57CC,土庫段,.00,都市：住,,,,00280002
RPRQMLLKQHHGFAB77CC,公館段,.00,都市：商,,,,00610052
RPOQMLLKQHHGFAB47CC,麻園頭段,.00,都市：住,,,,01510060
RPQNMLLKQHHGFFB87CC,市鎮北段,15.00,都市：商,,,,00420000
RPPNMLLKQHHGFFB77CC,市鎮北段,13.36,都市：商,,,,00580001
RPTOMLLKQHHGFDB08CC,墩南段,.00,都市：住,,,,04380002
RPQNMLLKQHHGFKB38CC,自治段,21.27,都市：住,,,,01730000
RPPNMLMKQHHGFKB38CC,東園段,8.98,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,04460000
RPQNMLMKQHHGFKB48CC,東園段,14.27,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,04460000
RPTNMLMKQHHGFKB78CC,新東段,15.25,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,04210000
RPSNMLMKQHHGFKB68CC,遠東段,.00,都市：住,,,,05890000
RPUNMLMKQHHGFKB88CC,遊園段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,05820000
RPOOMLMKQHHGFJB28CC,福平段,133.00,都市：住,,,,05470000
RPWNMLMKQHHGFJB98CC,福平段,.00,都市：住,,,,02030001
RPQNMLMKQHHGFIB28CC,立仁段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,00400000
RPQRMLLKQHHGFBB87CC,東山段,2.43,都市：商,,,,02620000
RPRNMLMKQHHGFDB87CC,岸裡段,10.93,都市：商,,,,01000000
RPUNMLMKQHHGFDB18CC,大富段,.00,都市：住,,,,05800001
RPUNMLMKQHHGFDB18CC,大富段,.00,都市：住,,,,05830001
RPUNMLMKQHHGFDB18CC,大富段,.00,都市：住,,,,05800000
RPPQMLLKQHHGFCB77CC,福安段,20.22,都市：住,,,,01440001
RPOPMLLKQHHGFCB57CC,廣明段,.00,都市：住,,,,06100000
RPOQMLLKQHHGFCB67CC,西屯段,.00,都市：住,,,,23840012
RPRQMLLKQHHGFCB97CC,民安段,.00,都市：住,,,,15230000
RPVQMLLKQHHGFCB38CC,中仁段,3.69,都市：商,,,,03410000
RPQOMLMKQHHGFFB08CC,晉江北段,8.98,都市：住,,,,01080000
RPTNMLMKQHHGFFB28CC,明秀段,.00,都市：住,,,,14900000
RPROMLMKQHHGFFB18CC,市鎮北段,10.85,都市：商,,,,02950000
RPPNMLMKQHHGFCB57CC,豐業段,.00,都市：住,,,,01990000
RPXNMLMKQHHGFCB38CC,國安段,6.55,都市：住,,,,05930491
RPQOMLMKQHHGFCB77CC,寶文段,.00,都市：住,,,,00750014
RPTOMLMKQHHGFCB08CC,田心段,173.00,都市：住,,,,08770006
RPPOMLMKQHHGFCB67CC,惠來厝段,.00,都市：住,,,,03150000
RPROMLMKQHHGFCB87CC,上石碑段,.00,都市：住,,,,05410000
RPUOMLMKQHHGFCB18CC,田心段,173.00,都市：住,,,,08770006
RPXPMLMKQHHGFCB58CC,西屯段,19.14,都市：住,,,,21460000
RPVOMLMKQHHGFCB28CC,田心段,214.00,都市：住,,,,08770011
RPVNMLMKQHHGFIB78CC,益民段,25.77,都市：住,,,,07260000
RPTNMLMKQHHGFIB58CC,新榮和段,2.90,都市：住,,,,00290000
RPOQMLMKQHHGFCB77CC,大進段,7.49,都市：住,,,,10100000
RPXNMLMKQHHGFIB98CC,大里段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,13350000
RPOPMLMKQHHGFAB47CC,麻園頭段,3.77,都市：商,,,,00460000
RPXNMLMKQHHGFAB18CC,大益段,.00,都市：住,,,,03320000
RPSNMLMKQHHGFBB77CC,文正段,.00,都市：商,,,,00660000
RPQNMLMKQHHGFBB57CC,太原段,24.62,都市：住,,,,01400004
RPRQMLMKQHHGFCB08CC,福星段,.00,都市：住,,,,01000004
RPPQMLMKQHHGFCB87CC,大墩段,.00,都市：住,,,,04030000
RPQQMLMKQHHGFCB97CC,福安段,31.21,都市：住,,,,08110001
RPXQMLMKQHHGFCB68CC,三塊厝段,.00,都市：住,,,,12440000
RPWNMLMKQHHGFBB18CC,水源段,12.44,都市：住,,,,03470003
RPUOMLMKQHHGFBB08CC,東峰段,5.50,都市：住,,,,01410000
RPTOMLMKQHHGFBB97CC,東峰段,26.82,都市：住,,,,00040001
RPQPMLMKQHHGFBB77CC,東新段,4.82,都市：住,,,,01530000
RPTPMLMKQHHGFBB08CC,東山段,1.77,都市：商,,,,02620000
RPUPMLMKQHHGFBB18CC,北屯段,30.34,都市：住,,,,02100000
RPWOMLMKQHHGFBB28CC,水源段,.00,都市：商,,,,02340003
RPXPMLMKQHHGFBB48CC,邱厝子段,13.44,都市：住,,,,01360000
RPWOMLMKQHHGFBB28CC,水源段,.00,都市：住,,,,02340005
RPPQMLMKQHHGFBB77CC,東信段,20.28,都市：住,,,,00570000
RPPNMLNKQHHGFAB47CC,旱溪段,34.84,都市：住,,,,02720158
RPSQMLMKQHHGFBB08CC,東正段,11.53,都市：商,,,,00920000
RPQNMLNKQHHGFBB67CC,水湳段,87.00,都市：住,,,,01510031
RPPNMLNKQHHGFDB77CC,慈興段,65.64,都市：住,,,,01690010
RPRQMLMKQHHGFBB97CC,東山段,4.20,都市：商,,,,02620000
RPRNMLNKQHHGFBB77CC,文正段,.00,都市：住,,,,01180049
RPRNMLNKQHHGFCB87CC,西屯段,.00,都市：住,,,,22830002
RPPNMLNKQHHGFKB48CC,慶順段,.00,非都市：一般農業區 ; 非都市編定：丙種建築用地,,,,00560000
RPPNMLOKQHHGFDB87CC,中和東段,.00,都市：住,,,,03350000
RPSNMLOKQHHGFDB18CC,中和東段,.00,都市：住,,,,03350000
RPUNMLOKQHHGFDB38CC,中和東段,.00,都市：住,,,,03350000
RPUNMLPKQHHGFHB88CC,秀雅段,64.24,都市：住,,,,04400000
RPQNMLPKQHHGFHB48CC,聖宮段,9.39,都市：商,,,,13290009
RPPNMLPKQHHGFFB18CC,市鎮北段,15.32,都市：商,,,,00580001
RPPPMLPKQHHGFDB28DC,豐原段,.00,都市：住,,,,07650069
RPQPMLPKQHHGFDB38DC,豐原段,.00,都市：住,,,,07650069
RPUNMLPKQHHGFFB68CC,犁份東段,.00,都市：農,,,,03960000
RPRNMLPKQHHGFIB68CC,喬城段,12.32,都市：住,,,,04470000
RPTNMLPKQHHGFJB98CC,溪洲段,.00,都市：商,,,,06260000
RPWNMLPKQHHGFIB56CC,霧峰段霧峰小段,.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,,,,00210037
RPOSMLPKQHHGFDB38CC,豐原段,.00,都市：商,,,,03430000
RPVNMLOKQHHGFDB48CC,中和東段,.00,都市：住,,,,03350000
RPOOMLPKQHHGFIB48CC,喬城段,.00,都市：住,,,,05900000
RPPNMLPKQHHGFAB67CC,土庫段,.00,都市：住,,,,01010096
RPOOMLPKQHHGFAB67CC,中墩段二小段,2.88,都市：商,,,,00140000
RPVOMLPKQHHGFAB38CC,下橋子頭段,.00,都市：住,,,,02380000
RPSPMLPKQHHGFCB38CC,三塊厝段,.00,都市：住,,,,04060000
RPXOMLPKQHHGFAB58CC,樹子腳段,.00,都市：住,,,,12970000
RPVPMLPKQHHGFAB48CC,樹子腳段,.00,都市：住,,,,06280000
RPVPMLPKQHHGFAB48CC,樹子腳段,.00,都市：住,,,,06280010
RPQQMLPKQHHGFAB08CC,下橋子頭段,.00,都市：商,,,,00070012
RPRQMLPKQHHGFAB18CC,頂橋子頭段,17.11,都市：商,,,,01150287
RPRQMLPKQHHGFAB18CC,頂橋子頭段,5.59,都市：商,,,,01150001
RPQNMLPKQHHGFBB87CC,崇德段,116.11,都市：住,,,,03280002
RPWNMLPKQHHGFBB48CC,錦村段,.00,都市：住,,,,03820000
RPPOMLPKQHHGFBB87CC,東山段,22.35,都市：住,,,,00130000
RPROMLPKQHHGFBB08CC,賴厝廍段,4.68,都市：住,,,,00710000
RPQOMLPKQHHGFBB97CC,中清段,7.74,都市：住,,,,05710000
RPQPMLPKQHHGFBB08CC,平田段,.00,都市：住,,,,05830030
RPQPMLPKQHHGFBB08CC,平田段,.00,都市：住,,,,05830039
RPQPMLPKQHHGFBB08CC,平田段,.00,都市：住,,,,05830041
RPXQMLPKQHHGFBB88CC,賴厝廍段,.00,都市：住,,,,04420000
RPVNMLQKQHHGFBB48CC,錦村段,.00,都市：住,,,,03220064
RPVNMLQKQHHGFBB48CC,錦村段,.00,都市：住,,,,03220065
RPQRMLPKQHHGFBB28CC,東信段,.00,都市：住,,,,00720000
RPXQMLQKQHHGFBB98CC,敦和段,195.37,都市：住,,,,08210000
RPXQMLQKQHHGFBB98CC,敦和段,980.81,都市：住,,,,08220000
RPURMLQKQHHGFBB78CC,中清段,32.79,都市：住,,,,04040003
RPWQMLQKQHHGFBB88CC,太和段,22.66,都市：住,,,,00280001
RPWNMLQKQHHGFBB58CC,碧柳段,.00,都市：商,,,,02550000
RPSOMLQKQHHGFCB38CC,國安段,.00,都市：住,,,,05990000
RPUPMLQKQHHGFCB68CC,惠來厝段,.00,,,,,01040000
RPVQMLQKQHHGFCB88CC,鑫港尾段,87.14,都市：住,,,,02850000
RPTQMLQKQHHGFCB68CC,上石碑段,9.88,都市：商,,,,20410000
RPRNMLQKQHHGFIB78CC,東湖段,13.59,都市：住,,,,09550000
RPXQMLQKQHHGFCB09CC,惠民段,15.94,都市：其他:第六種新市政中心,,,,01390000
RPXQMLQKQHHGFCB09CC,惠民段,14.43,都市：其他:第六種新市政中心,,,,01390000
RPQRMLQKQHHGFIB09CC,北新段,14.16,都市：住,,,,10490000
RPXRMLQKQHHGFIB17CC,北新段,18.88,都市：住,,,,10490000
RPPTMLQKQHHGFIB56CC,北新段,14.16,都市：住,,,,10490000
RPQNMLQKQHHGFJB78CC,溪洲段,.00,都市：商,,,,06260000
RPWNMLQKQHHGFCB78DC,惠國段,1050.41,都市：其他:第六種新市政中心專用區,,,,01250000
RPPNMLQKQHHGFJB78DC,宜欣段,5.02,都市：住,,,,21440000
RPQNMLRKQHHGFEB38CC,和平段,.00,都市：住,,,,02730000
RPPNMLRKQHHGFHB58CC,員寶段,53.70,都市：農,,,,05030000
RPTNMLQKQHHGFFB68CC,市鎮北段,13.20,都市：商,,,,00580001
RPPNMLRKQHHGFHB58CC,員寶段,23.73,都市：農,,,,04740000
RPWNMLQKQHHGFFB98CC,市鎮北段,14.55,都市：商,,,,01180000
RPTNMLRKQHHGFHB98CC,四德段,18.06,都市：住,,,,01090000
RPQRMLRKQHHGFIB56CC,萬豐段,84.55,非都市：特定農業區 ; 非都市編定：丁種建築用地,,,,01760000
RPPONLRKQHHGFIB88CC,天時段,.00,都市：住,,,,00480000
RPVQNLRKQHHGFIB07CC,新高鐵段,.00,都市：商,,,,00510000
RPWSMLRKQHHGFIB27CC,萬豐段,84.55,非都市：特定農業區 ; 非都市編定：丁種建築用地,,,,01760000
RPWQMLLKQHHGFBB38CC,竹興段,.00,都市：住,,,,01490000
RPPOMLRKQHHGFCB18CC,上石碑段,.00,都市：住,,,,08240000
RPQOMLRKQHHGFCB28CC,大新段,.00,都市：商,,,,07440003
RPTOMLRKQHHGFCB58CC,中和段,.00,都市：住,,,,05940000
RPUQMLRKQHHGFCB88CC,三塊厝段,.00,都市：住,,,,05570000
RPWQMLRKQHHGFCB09CC,下石碑段,.00,都市：住,,,,10470000
RPVUNLRKQHHGFIB47CC,益民段,.00,都市：住,,,,07110000
