編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLSJJIHGFBU66EA,大平段,235.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02990001
RPRNMLKKJIHGFBU68DA,榮開段,2440.00,非都市：一般農業區 ; 非都市編定：農牧用地,2500,2440,持分移轉,05060003
RPRNMLRKJIHGFAU66DA,三農段,5.54,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,04090003
RPQNMLSJJIHGFBU76EA,大平段,235.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02760001
RPPNMLOKJIHGFBU98EA,大安段,94.00,都市：其他:住宅區,1,1,全筆移轉,05980012
RPVOMLRKJIHGFAU17DA,三農段,583.52,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,04090000
RPOOMLRKJIHGFAU09DA,宜昌段,21.40,都市：住,1000,107,持分移轉,07270000
RPPNMLSKJIHGFAU56DA,莊敬段,6.77,都市：住,20000,422,持分移轉,04260000
RPPNMLSKJIHGFBU66DA,水廣段,1322.37,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,08440000
RPOOMLSKJIHGFAU66EA,太昌段,194.00,都市：商,1,1,全筆移轉,09340017
RPOOMLSKJIHGFAU66EA,太昌段,2.00,都市：商,1,1,全筆移轉,09340054
RPSNMLRKJIHGFAU76DA,民勤段,27.00,都市：住,1,1,全筆移轉,02070000
RPPOMLRKJIHGFAU56DA,慈惠段,305.67,都市：住,6,1,持分移轉,07080000
RPSNMLPKJIHGFAU56DA,富國段,20.73,都市：商,10000,127,持分移轉,01310000
RPPNMLPKJIHGFBU09EA,磯崎段,379.02,非都市：風景區 ; 非都市編定：農牧用地,3,1,持分移轉,05670000
RPTNMLLLJIHGFAU98DA,克來寶段,151.12,都市：住,3,2,持分移轉,03380000
RPPNMLLLJIHGFBU78EA,萬利段,3312.09,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,14830000
RPTNMLMLJIHGFBU56DA,豐義段,40.58,都市：其他:商業區,1,1,全筆移轉,07480000
RPWNMLMLJIHGFAU76DA,樹人段,10.07,都市：住,10000,572,持分移轉,00040003
RPWNMLMLJIHGFAU76DA,樹人段,18.53,都市：住,10000,572,持分移轉,00040004
RPUNMLNLJIHGFAU66DA,克來寶段,100.01,都市：住,1,1,全筆移轉,02570000
RPUNMLNLJIHGFAU66DA,克來寶段,100.01,都市：住,1,1,全筆移轉,02580000
RPROMLNLJIHGFAU09DA,富國段,25.64,都市：其他:住宅區,2000,154,持分移轉,01780000
RPXNMLLLJIHGFAU76DA,三農段,49.08,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,04090001
RPSNMLLKJIHGFAU78DA,烏杙段,517.48,都市：農,1,1,全筆移轉,01440000
RPSNMLLKJIHGFAU78DA,烏杙段,4.00,都市：農,1,1,全筆移轉,01440001
RPQOMLQKJIHGFAU56DA,福興段,75.00,都市：住,1,1,全筆移轉,08710041
RPPPMLTJJIHGFAU76DA,福德段,662.00,,1,1,全筆移轉,04240003
RPTNMLTJJIHGFAU96DA,慶豐段,68.00,都市：住,1,1,全筆移轉,19390000
RPTNMLTJJIHGFAU96DA,慶豐段,3.00,,1,1,全筆移轉,19390004
RPSOMLRJJIHGFAU76DA,莊敬段,23.90,都市：住,10000,542,持分移轉,02410000
RPRNMLQJKIHGFCU86EA,神社段,240.51,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,10460000
RPPNMLLKJIHGFCU78EA,立山段,10590.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,05220000
RPQNMLLLJIHGFBU88EA,支亞干段,983.65,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,16290000
